Feed Name,Feed ID,Feed Type,Active Status,Feed Description,Feed Scope Description,Assessment Status,Server Name,Schema Name,Table Name,Reporting Usages,Feed Source EONID,Feed Source Name,Feed Folder,Feed Arrival SLA,System EONID,Authorized Re-Distributer,Data Concept,Boundary,Authority Aligned,Entity Scope,Product Mapping,Feed Priority,Control Owner,Feed Instance,Sourcing Method,Feed Arrival ETA,Business Owner,Tech Owner,Primary IT Contact
FX Rates,14,Feed,Active,​This will be used to convert the transactional MX values into USD for Liquidity reporting. Provides the FX Rates from NY 31 Trader Mark Rates. ,This feed will be used for FX rate conversion where there is a currency code included.,Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_FX_RATES,5G;6G;ALMM;ALMM C66;LCR -UK;RFM;NSFR U.S.;Unsecured Funding (Debt),3258,Datalink (SRD),edg_fxrates,01:31 LNT,12659.0,Market1,​Currency Observation,End of Day,Yes,MSBNA/MSPBNA,Reference Data,,None,,Push,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",Sanjai Agarwal
Phoenix Funding Pools,15,Feed,Active,"
An internal grouping of funds (cash or very liquid securities) used to fund business activities. Attributes related to each security pool.","

All securities (Equities, Repos/Sec lending, Government and agency securities, Corporate and Other Debt, Securitized Derivative (equity and credit)) and cash available to be used as collateral",Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_FUNDING_POOLS,RFM,3731,Market1,mkt1_fundingpool,01:50 LNT,12659.0,   ,​Secured Funding Pool,"
​Equities, Repos/Sec lending, Government and agency securities, Corporate and Other Debt, Securitized Derivative(equity and credit)) and cash ",Yes,,Reference Data,,None,,Pull,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
Phoenix Funding Rates,16,Feed,Active,"
Funding Cost reference data feed to meet the CFP and FRB 4G liquidity reporting requirements. These rates and ratios represent the brm contractual secured financing rates and ratios (haircuts)","
Internal rates for all collateral of securities lending and repos activities",Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_FUNDING_POOL_RATES,PRA110;SSMLT,3731,Market1,mkt1_fundingrates,01:50 LNT,12659.0,   ,​Internal Secured Funding Rate,​Stock Loan and Repo,Yes,,Reference Data,,None,,Pull,,Subhav Patel,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
Counterparty Details,18,Feed,Active,​Provides counterparty level data attributes. New attribute required in Darwin which shows the type of the counterparty based on legal form and country of jurisdiction.,"All feeds which have a Counterparty ID or have been enriched with a Counterparty ID, will be enriched with the attributes included in feed specs.",Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_COUNTERPARTIES,5G;6G;ALMM;ALMM C66;LCR -UK;RFM;NSFR U.S.,3258,Datalink (SRD),,09:00 LNT,12659.0, A2  ,​Party Hierarchy,​Party Role - Counterparty,Yes,MSBNA/MSPBNA,Reference Data,,None,,Pull,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",Sanjai Agarwal
PB Free Cash,19,Feed,Active,"Prime Brokerage Free Cash data for Contingency Funding Plan (CFP) and FED 4G requirements. FSA Liquidity –IPB – Client Free Balances and Margin Lending. To identify the client accounts which have free cash or margin lending balances, the balances will be netted at counterparty level.",,Proposed for Deco,nyqd_lmfr_ate,LIQUIDITY,BUF_FREE_CASH,,36392,Wire-D,pb_free_cash,04:30 LNT,12659.0,,​Actual Settlement Date Account Balance,​IPB; Client Accounts,Yes,,Core Prime Brokerage,High,None,,Push,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
Derivatives Collateral,25,Feed,Active,"The source system EGTS will generate the Feed every day and write to an output destination. Liquidity Hub file poll-er will pick this feed, process it and store it in the relevant tables. Collateral details at the trade level.

","All OTC Derivatives are required to be sourced across ISG and PWM/ GWM domains globally

 

Used in UK OOFA",Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_DERIV_COLLATERAL,5G;6G;LCR - US;LCR -UK;PRA110;RLST;OoFA;UK OoFA;RFM;SSMLT;Asset Encumbrance;NSFR U.S.,3759,E*GTS,egtscollateral,08:00 LNT,12659.0,"​N/A
",1) Collateral Value 2) Collateral Position 3) Collateral Balance,OTC Derivatives,Yes,MSBNA/MSPBNA,Derivatives - OTC,Critical,FSS-Data Services; FSS-Liquidity Reporting,Daily feeds are required by 07:00am GMT on T+1 for every business day except for January 1st which is a global holiday. Global liquidity returns are required to be submitted daily T+1  ,Push,,Doyle Hunt,"Adarsh Sinha ; ""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
IPB Free Cash Balances,26,Feed,Active,​Free cash (credit/negative balance) represents where the client has excess cash deposits over and above any loans or collateral obligations.,International Prime Brokerage,Proposed for Deco,nyqd_lmfr_ate,LIQUIDITY,HUB_IPB_FREE_CASH,,5708,IPBFinance,ipb_free_cash,07:30 LNT,12659.0,,​Contractual Settlement Date Account Balance,"​Division: PB, Region: Ex-America,Product Types: BS including Mortgage Backed Securities, Bonds, Equity Client Account",Yes,,TBD,High,None,,Push,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
TAPS Cash at Bank,30,Feed,Active,"​All firm cash balances needs to be sent to the Liquidity Hub on a daily basis. Separate feeds are needed for Taps cash, GL Only cash, and GWM cash, since these files have different data formats.
Strategic plan was to move data sorucing from Basel to FDW, this feed will be replaced with BTB Cash
","All Morgan Stanley entities globally including their subsidiaries and branches where Treasury Products are booked. These feeds will run for every production date, regardless of holidays.  Cash balances will be extracted from the Daily Basel process for the current production date, excluding Money Markets deposits, which will be sourced directly from Triton.",Proposed for Deco,nyqd_lmfr_ate,,,5G;6G;ALMM;LCR - US;ILST - UK,24098,BaselHub,taps_cash,04:30 LNT,12659.0,​Libra,Cash At Bank Balance,​Division- ISG,Yes,,Cash,High,None,,Push,,Subhav Patel,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",Arun GunduRao; Nandeesh Nagaraj
Loan IQ - Pending,32,Feed,Active,"
Feed should contain all products booked in ISG Loan IQ platforme.g. Loans, Deposits, Guarantees, etc.
Data is required on a trade date basisi.e. pending / forward starting transactions as of a given settlement date. ","All Morgan Stanley entities globally including their subsidiaries and branches where Loans are booked. The product scope include Corporate loans, SPG  (Structured Products Group) warehouse loans, SPG CRE (Commercial Real Estate) loans, Equity margin loans and tailored lending.
",Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_LOANS_PENDING,5G;6G,4056,LoanIQ (SPG),loaniq_pending,04:00 LNT,12659.0,,​1) Loan Facility 2) Deal,ISG+Undrawn,Yes,MSBNA,Loans,High,FSS-Data Services; FSS-Liquidity Reporting,,Push,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
Loan IQ - Drawn,33,Feed,Active,"
​Facilities paid out to borrowers","


•Entity Scope:All Morgan Stanley entities globally including their subsidiaries and branches where Loans are booked.
•Product Scope:Data is required on a trade date basisi.e. settlement date transactions plus pending / forward starting transactions.
•Accounts:N/A",Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_LOANS_DRAWN,5G;6G;ALMM;IRRBB;LCR - US;LCR -UK;PRA110;ILST;ILST - UK;SSMLT;Asset Encumbrance;NSFR U.S.;NSFR U.K,4056,LoanIQ (SPG),loaniq_drawn,04:00 LNT,12659.0,​N/A,​Loan Facility,​Drawn+ISG,Yes,MSBNA/MSPBNA,Loans,High,FSS-Data Services; FSS-Liquidity Reporting,,Push,,Subhav Patel,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
Loan IQ - Undrawn,34,Feed,Active,"
Feed should contain all products booked in ISG Loan IQ platforme.g. Loans, Deposits, Guarantees, etc. Data is required on a trade date basisi.e. total unfunded amount as of a given date.","All Morgan Stanley entities globally including their subsidiaries and branches where Loans are booked. The product scope include Corporate loans, SPG (Structured Products Group) warehouse loans, SPG CRE (Commercial Real Estate) loans, Equity margin loans and tailored lending. 
",Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_LOANS_UNDRAWN,5G;6G;ALMM;IRRBB;LCR - US;LCR -UK;PRA110;ILST;ILST - UK;SSMLT;NSFR U.S.,4056,LoanIQ (SPG),loaniq_undrawn,04:00 LNT,12659.0,,1) ​​Loan Facility 2) Deal,"Div:ISG
Undrawn",Yes,MSBNA/MSPBNA,Loans,High,FSS-Data Services; FSS-Liquidity Reporting,,Push,,Subhav Patel,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
Unencumbered Assets - AS,35,Feed,Active,"​This feed will provide unencumbered securities (securities held on the firm's own account - see spec for FSA definition details). Specifically, this feed will populate the unencumbered position columns in part 2 of EMR (""Security, transferable whole-laon and commodity flows"").","Unencumbered Assets - AS (Asia Scope)
This includes all Morgan Stanley entities globally including their subsidiaries and branches should be included.
""For our purposes, we are defining unencumbered securities as the net long security held on firm depot accounts by entity, which is not encumbered to a financing transaction or committed to any other transaction available for funding. 
We are leveraging the fundable / unfundable flag in the GIM process to define marketable securities based upon criteria defined and managed by Corporate Treasury and the BRM. 
Data is required on a trade date basis i.e. settlement date transactions plus pending transactions.""
(Note: GIM process only reports positions on depot accounts.  The process does not take account of depot breaks, fails etc.)  
",Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_UNENCUMBERED_AS,5G;6G;ALMM;LCR - US;LCR -UK;RLST;OoFA;ILST;ILST - UK;RFM;NSFR U.S.,7146,Global Inventory Manager,unencumbered_as,21:00 LNT,12659.0,,​1) Market Value 2) Unencumbered Position,"​1)​Some Corporate and Other Debt, Equity(minus mutual funds), Repos and Sec Lending, Sovereign Gov Debt & Agency Security
2)Some Corporate and Other Debt, Equity(minus mutual funds), Repos and Sec Lending, Sovereign Gov Debt & Agency Security",Yes,None,Inventory - Investment Securities; Inventory - Trading Securities,Critical,FSS-Data Services; FSS-Liquidity Reporting,,Push,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",Ajay Kakar
Unencumbered Assets - EU,36,Feed,Active,"​This feed will provide unencumbered securities (securities held on the firm's own account - see spec for FSA definition details). Specifically, this feed will populate the unencumbered position columns in part 2 of EMR (""Security, transferable whole-laon and commodity flows"").","Unencumbered Assets - AS (Europe Scope)
This includes all Morgan Stanley entities globally including their subsidiaries and branches should be included.
""For our purposes, we are defining unencumbered securities as the net long security held on firm depot accounts by entity, which is not encumbered to a financing transaction or committed to any other transaction available for funding. 
We are leveraging the fundable / unfundable flag in the GIM process to define marketable securities based upon criteria defined and managed by Corporate Treasury and the BRM. 
Data is required on a trade date basis i.e. settlement date transactions plus pending transactions.""
(Note: GIM process only reports positions on depot accounts.  The process does not take account of depot breaks, fails etc.)   

 
Used in UK OOFA",Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_UNENCUMBERED_EU,5G;6G;ALMM;LCR - US;LCR -UK;Liquidity Snapshot;PRA110;RLST;OoFA;ILST;ILST - UK;UK OoFA;RFM;SSMLT;NSFR U.S.,7146,Global Inventory Manager,unencumbered_eu,04:00 LNT,12659.0,,1) Market Value 2) Unencumbered Position,"​1) Some Corporate and Other Debt, Equity(minus mutual funds), Repos and Sec Lending, Sovereign Gov Debt & Agency Security 2) Some Corporate and Other Debt, Equity(minus mutual funds), Repos and Sec Lending, Sovereign Gov Debt & Agency Security",Yes,None,Inventory - Investment Securities; Inventory - Trading Securities,Critical,FSS-Data Services; FSS-Liquidity Reporting,,Push,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",Ajay Kakar
Unencumbered Assets - NA,37,Feed,Active,"​This feed will provide unencumbered securities (securities held on the firm's own account - see spec for FSA definition details). Specifically, this feed will populate the unencumbered position columns in part 2 of EMR (""Security, transferable whole-laon and commodity flows"").","Unencumbered Assets - AS (North America Scope)
This includes all Morgan Stanley entities globally including their subsidiaries and branches should be included.
""For our purposes, we are defining unencumbered securities as the net long security held on firm depot accounts by entity, which is not encumbered to a financing transaction or committed to any other transaction available for funding. 
We are leveraging the fundable / unfundable flag in the GIM process to define marketable securities based upon criteria defined and managed by Corporate Treasury and the BRM. 
Data is required on a trade date basis i.e. settlement date transactions plus pending transactions.""
(Note: GIM process only reports positions on depot accounts.  The process does not take account of depot breaks, fails etc.)   ",Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_UNENCUMBERED_NA,5G;6G;ALMM;LCR - US;Liquidity Snapshot;RLST;OoFA;ILST;ILST - UK;RFM;NSFR U.S.,7146,Global Inventory Manager,unencumbered_na,08:00 LNT,12659.0,,1) Market Value 2) ​Unencumbered Position,"1. Some Corporate and Other Debt, Equity(minus mutual funds), Repos and Sec Lending, Sovereign Gov Debt & Agency Security, 2. Some Corporate and Other Debt, Equity(minus mutual funds), Repos and Sec Lending, Sovereign Gov Debt & Agency Security",Yes,MSBNA/MSPBNA,Inventory - Investment Securities; Inventory - Trading Securities,Critical,FSS-Data Services; FSS-Liquidity Reporting,,Push,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",Ajay Kakar
GL Only Cash,38,Feed,Active,"​All firm cash balances needs to be sent to the Liquidity Hub on a daily basis.  Separate feeds are needed for Taps cash, GL Only cash, and GWM cash, since these files have different data formats.
Strategic plan was to move data sorucing from Basel to FDW, this feed will be replaced with BTB Cash
","All Morgan Stanley entities globally including their subsidiaries and branches where Treasury Products are booked.
These feeds will run for every production date, regardless of holidays.  Cash balances will be extracted from the Daily Basel process for the current production date, excluding Money Markets deposits, which will be sourced directly from Triton.",Proposed for Deco,nyqd_lmfr_ate,,,5G;6G;LCR - US;ILST - UK,7324,Basel,glonly_cash,04:30 LNT,12659.0,​Wise,Cash At Bank Balance,Division - ISG,Yes,MSBNA/MSPBNA,Cash,High,None,,Push,,Subhav Patel,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",Arun GunduRao; Nandeesh Nagaraj
GWM Cash,39,Feed,Active,"​All firm cash balances needs to be sent to the Liquidity Hub on a daily basis.  Separate feeds are needed for Taps cash, GL Only cash, and GWM cash, since these files have different data formats.
Strategic plan was to move data sorucing from Basel to FDW, this feed will be replaced with BTB Cash
","All Morgan Stanley entities globally including their subsidiaries and branches where Treasury Products are booked.
These feeds will run for every production date, regardless of holidays.  Cash balances will be extracted from the Daily Basel process for the current production date, excluding Money Markets deposits, which will be sourced directly from Triton.
",Proposed for Deco,nyqd_lmfr_ate,,,5G;6G;LCR - US,7324,Basel,gwm_cash,04:30 LNT,12659.0,​Wise,Cash At Bank Balance,​Division - GWM,Yes,,Cash,High,None,,Push,,Subhav Patel,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",Arun GunduRao; Nandeesh Nagaraj
Triton Sub-Debt,43,Feed,Active,"​Morgan Stanley issues sub-debt internally between its entities. The sub-debt is booked as an inter-company loan in Triton.
Sub debt is the lowest priority form of debt issued by a company (i.e. ranking only above equity on liquidation of a company). ",All Morgan Stanley entities globally including their subsidiaries and branches where Treasury Products are booked.,Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_TRITON_SUB_DEBT,5G;6G;ALMM;PRA110;SSMLT;NSFR U.S.,7337,Triton/Avalon,triton_subdebt,11:30 LNT,12659.0,,​Contractual Obligation,​Inter-Company,Yes,MSBNA,Deposits; Borrowings,High,FSS-Data Services; FSS-Liquidity Reporting,,Push,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
Triton Money Markets,44,Feed,Active,"Money Markets Deposits and Loans (or Cash Deposits and Cash Loans).  Product types as defined in Triton include, not limited to, BANKGCDEPO, CFM, FIRM, FOD, INSTITL, and RPDEPO.","Money Markets (Cash Deposits and Cash Loans)
All Morgan Stanley entities globally including their subsidiaries and branches where Treasury Products are booked. 
Cash Loans represent cash borrowed from 3rd parties by Treasury to manage the day to day cash used by the business.  Cash deposits and cash at banks represent investments and long balances that may be mobilized next day for funding. ",Proposed for Deco,nyqd_lmfr_ate,LIQUIDITY,HUB_TRITON_MONEY_MKTS,5G;6G;IRRBB;LCR - US;LCR -UK;Liquidity Snapshot;PRA110;ILST;ILST - UK;SSMLT;Asset Encumbrance;NSFR U.S.,7337,Triton/Avalon,triton_moneymkt,06:35 LNT,12659.0,,​Allocated Trade Contract,Money Market,Yes,MSBNA/MSPBNA,Cash,High,FSS-Data Services; FSS-Liquidity Reporting,,Push,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",Matthew Bain   
Downgrade Triggers,47,Feed,Active,"Any contractual outflows(Collateral Obligations) that would result from a downgrade of the firm’s current long-term credit rating. A firm should consider downgrades of all its long-term counterparty, issuer and debt credit ratings.
 ",All Morgan Stanley Entities (ISG Only),Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_DOWNGRADES,5G;6G;LCR - US;LCR -UK;PRA110;ILST;ILST - UK;SSMLT,3759,E*GTS,otc_dwngrd,12:50 LNT,12659.0,,Funding Future Cash Requirement,Downgrade Trigger​,Yes,MSBNA/MSPBNA,Derivatives - OTC,High,FSS-Data Services,,Push,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
Pending Trades,48,Feed,Active,"​Broker dealer pending trades
New pending trades are going to resolve following two business problems. 
Pending Balance Pending Balance is one of the key areas causing the material BTR (Book To Reported) break and Finance is unable to get reliable pending trades data that can tie out to General Ledger (10Q TD Receivable/Payables).New pending trade’s data with various exclusion rules uncovered by now is proven to be materially reconciled to the ledger at ME for global Morgan Stanley scope (FHC). It would also have additional benefit as below: •      Potential additional netting by counterparty for FED 009 reporting•      Average pending balance requirement in Daily Balance Sheet•      Assess external gross-ups that may be required for Basel SLR


LST (Long Settle Trades) 
LST (for US Balance Sheet reporting) is unsettled securities transactions with a contractual settlement that is longer than the market standard for the particular instrument. Despite the nature of instrument as cash securities, LST requires the similar accounting treatment to derivatives.
Currently firm’s subledger system (PX/Librix) treats LST same as other regular trades and that has to be corrected in the ledger for the balance sheet reporting.
New pending trades include the logic to identifying LST trades considering the regional holiday information as well as market standard for the instrument and can be used as the base population for LST adjustment.
 
In the later phase, new LST population would be used for the input for capital calculation. (LST CEM calculator) so that balance sheet reporting and capital reporting would be consistent. ","ISG Pending Trades, Frees and Long Settled Trades are booked
Used in UK OOFA",Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_PENDING_PART,5G;6G;ALMM;PRA110;OoFA;UK OoFA;SSMLT;NSFR U.S.;NSFR U.K;NSFR EBA,491,TAPS_EUR,Old: pending New:fdw_pending,03:45:00,12659.0,"​

",Pending Contractual Settlement Date Position,Div: ISG,Yes,MSBNA/MSPBNA,Pending Trades,Critical,FSS-Data Services; FSS-Liquidity Reporting,,Push,,Subhav Patel,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
Listed Derivatives,51,Feed,Active,"Contains ​Listed Derivatives which required to be sourced across FID, EQUITY,  Commodities, Prime Brokerage and PWM/ GWM globally
All Morgan Stanley entities globally including their subsidiaries and branches where derivative trades are booked. 
 ","
Entity Scope 
All Morgan Stanley entities globally including their subsidiaries and branches where derivative trades are booked. 
 
Product Scope 
All OTC and Listed Derivatives are required to be sourced across FID, EQUITY,  Commodities, Prime Brokerage and PWM/ GWM globally 
Feeds include: 
a. Market Value of the Derivative Position 
b. Market Value/ Cash Value of the Derivative Collateral  
c. Initial Margin  
d. Cash Flows for FX and Cross Currency swaps ",Proposed for Deco,nyqd_lmfr_ate,LIQUIDITY,HUB_LISTED_DERIVATIVES,,6598,LD Data Hubs,listed_deriv,07:00 LNT,12659.0,,​1) Market Vallue 2) Initial Margin 3) Collateral Balance,​Listed Derivatives,Yes,,Derivatives - Listed,High,None,,Push,,Doyle Hunt,"""Primary_Technology_Owner"" / ""Technology_Owner"" via Tai: http://tai.ms.com/tai/tai.shtml s=CI/view/2435655/",
