Feed Name,Attribute ID,Attribute Name,Feed ID,Technical Data Type,Technical Data Values,Collibra Catalog ID,DGC Data Element,Definition,One Hop Column(s)
Cost Centres,T-5-DEFAULT_SET_FLAG,DEFAULT_SET_FLAG,5,String,Y,,Default Set Flag,Indicates whether the dataset is the default for the run of information.,
Cost Centres,T-5-EXCEPTION_ROW_FLAG,EXCEPTION_ROW_FLAG,5,String,N,,Exception Row Flag,,
Cost Centres,T-5-EXCEPTION_SIGNOFF,EXCEPTION_SIGNOFF,5,String,N,,Exception Signoff,,
Cost Centres,T-5-MATURITY_DATE,MATURITY_DATE,5,String,None,,Contractual Maturity Date,The maturity date of the instrument.,
Cost Centres,T-5-ENTRY_TS,ENTRY_TS,5,Datetime,2022-08-08 11:34:25.797358 - 2023-02-28 00:37:40.124966,,Entry TS,,
Cost Centres,T-5-ORGANIZATIONAL_STRUCTURE,ORGANIZATIONAL_STRUCTURE,5,String,DW,,,,
Cost Centres,T-5-COST_CENTRE,COST_CENTRE,5,String,$625TN_,,Cost Centre,,
Cost Centres,T-5-COST_CENTRE_DESCRIPTION,COST_CENTRE_DESCRIPTION,5,String,$625TN_INP,,,,
Cost Centres,T-5-COST_CENTRE_LEVEL_1,COST_CENTRE_LEVEL_1,5,String,Morgan Stanley Bus Units,,,,
Cost Centres,T-5-COST_CENTRE_LEVEL_2,COST_CENTRE_LEVEL_2,5,String,Asset Management,,,,
Cost Centres,T-5-COST_CENTRE_LEVEL_3,COST_CENTRE_LEVEL_3,5,String,IM Business Management,,,,
Cost Centres,T-5-COST_CENTRE_LEVEL_4,COST_CENTRE_LEVEL_4,5,String,Divisional Administration,,,,
Cost Centres,T-5-COST_CENTRE_LEVEL_5,COST_CENTRE_LEVEL_5,5,String,Divisional Admin - Other,,,,
Cost Centres,T-5-COST_CENTRE_LEVEL_6,COST_CENTRE_LEVEL_6,5,String,IM Mgmt Rpt,,,,
Cost Centres,T-5-COST_CENTRE_LEVEL_7,COST_CENTRE_LEVEL_7,5,String,Long Only Administration,,,,
Cost Centres,T-5-COST_CENTRE_LEVEL_8,COST_CENTRE_LEVEL_8,5,String,Support Services Allocation,,,,
Cost Centres,T-5-COST_CENTRE_LEVEL_9,COST_CENTRE_LEVEL_9,5,String,Misc Allocation,,,,
Cost Centres,T-5-COST_CENTRE_LEVEL_10,COST_CENTRE_LEVEL_10,5,String,Misc-Other,,,,
Cost Centres,T-5-COST_CENTRE_LEVEL_11,COST_CENTRE_LEVEL_11,5,String,*,,,,
Cost Centres,T-5-COST_CENTRE_LEVEL_12,COST_CENTRE_LEVEL_12,5,String,*,,,,
Cost Centres,T-5-COST_CENTRE_LEVEL_13,COST_CENTRE_LEVEL_13,5,String,*,,,,
Cost Centres,T-5-COST_CENTRE_LEVEL_14,COST_CENTRE_LEVEL_14,5,String,*,,,,
Cost Centres,T-5-COST_CENTRE_LEVEL_15,COST_CENTRE_LEVEL_15,5,String,*,,,,
Cost Centres,T-5-COST_CENTRE_LEVEL_16,COST_CENTRE_LEVEL_16,5,String,*,,,,
Cost Centres,T-5-COST_CENTRE_LEVEL_17,COST_CENTRE_LEVEL_17,5,String,None,,,,
Cost Centres,T-5-COST_CENTRE_LEVEL_0,COST_CENTRE_LEVEL_0,5,String,TOP_CONCC,,,,
Cost Centres,T-5-MGMT_REGION_LEVEL_1,MGMT_REGION_LEVEL_1,5,String,None,,,,
Cost Centres,T-5-MGMT_REGION_LEVEL_2,MGMT_REGION_LEVEL_2,5,String,None,,,,
Cost Centres,T-5-MGMT_REGION_LEVEL_3,MGMT_REGION_LEVEL_3,5,String,None,,,,
Cost Centres,T-5-MGMT_REGION_LEVEL_4,MGMT_REGION_LEVEL_4,5,String,None,,,,
Cost Centres,T-5-MGMT_REGION_LEVEL_5,MGMT_REGION_LEVEL_5,5,String,None,,,,
Cost Centres,T-5-MGMT_REGION_LEVEL_6,MGMT_REGION_LEVEL_6,5,String,None,,,,
Cost Centres,T-5-MGMT_REGION_LEVEL_7,MGMT_REGION_LEVEL_7,5,String,None,,,,
BAAC,T-6-ROW_ID,ROW_ID,6,Integer,1 - 245509,,Row ID,The row identifier of the dataset.,
BAAC,T-6-RUN_ID,RUN_ID,6,Integer,1186430 - 1186430,,Run ID,The run number for the table of information.,
BAAC,T-6-TABLE_ID,TABLE_ID,6,Integer,6/6/2023 0:00,,Table ID,The table/feed ID for which the row of information belongs to.,
BAAC,T-6-BUSINESS_DATE,BUSINESS_DATE,6,String,3/21/2022 0:00,,COB Date,Close of business date for which the report is run.,
BAAC,T-6-FILL_FORWARD_FLAG,FILL_FORWARD_FLAG,6,String,N,,Fill Forward Flag,"Flag indicating whether a fill forward (or ""roll forward"") has taken place for the row of information.",
BAAC,T-6-DEFAULT_SET_FLAG,DEFAULT_SET_FLAG,6,String,N,,Default Set Flag,Indicates whether the dataset is the default for the run of information.,
BAAC,T-6-EXCEPTION_ROW_FLAG,EXCEPTION_ROW_FLAG,6,String,N,,Exception Row Flag,,
BAAC,T-6-EXCEPTION_SIGNOFF,EXCEPTION_SIGNOFF,6,String,Y,,Exception Signoff,,
BAAC,T-6-MATURITY_DATE,MATURITY_DATE,6,String,None,,Contractual Maturity Date,The maturity date of the instrument.,
BAAC,T-6-ENTRY_TS,ENTRY_TS,6,Datetime,2022-03-21 18:31:40.198243 - 2022-03-21 18:31:40.198243,,Entry TS,,
BAAC,T-6-LEGAL_ENTITY,LEGAL_ENTITY,6,String,302,,Entity Code,,
BAAC,T-6-TAPS_TRADING_ACCOUNT,TAPS_TRADING_ACCOUNT,6,String,59113191,,TAPS Trading Account,The firm trading account of the position.,
BAAC,T-6-COST_CENTRE,COST_CENTRE,6,String,M1201,,Cost Centre,,
BAAC,T-6-BAAC_DESK,BAAC_DESK,6,String,None,,,,
BAAC,T-6-BAAC_BOOK_DETAIL,BAAC_BOOK_DETAIL,6,String,None,,,,
BAAC,T-6-BAAC_DIVISION,BAAC_DIVISION,6,String,None,,,,
BAAC,T-6-BAAC_BUSINESS_AREA,BAAC_BUSINESS_AREA,6,String,None,,,,
BAAC,T-6-BAAC_DESCRIPTION,BAAC_DESCRIPTION,6,String,MASTER TRUST BANK OF JAPAN LTD,,,,
BAAC,T-6-TRADING_BOOK,TRADING_BOOK,6,String,None,,Trading Book,,
BAAC,T-6-BAAC_PRODUCT_LINE,BAAC_PRODUCT_LINE,6,String,None,,,,
BAAC,T-6-BAAC_REGION,BAAC_REGION,6,String,None,,,,
BAAC,T-6-BAAC_STRATEGY_DETAIL,BAAC_STRATEGY_DETAIL,6,String,None,,,,
BAAC,T-6-BAAC_STRATEGY,BAAC_STRATEGY,6,String,None,,,,
BAAC,T-6-PROCESS1,PROCESS1,6,String,None,,,,
BAAC,T-6-PROCESS_2,PROCESS_2,6,String,None,,,,
BAAC,T-6-DSP_ACC_ACTIVITY,DSP_ACC_ACTIVITY,6,String,None,,,,
TAPS Account Data,T-7-ROW_ID,ROW_ID,7,Integer,2 - 1245599,,Row ID,The row identifier of the dataset.,
TAPS Account Data,T-7-RUN_ID,RUN_ID,7,Integer,1256301 - 1267425,,Run ID,The run number for the table of information.,
TAPS Account Data,T-7-TABLE_ID,TABLE_ID,7,Integer,7/7/2023 0:00,,Table ID,The table/feed ID for which the row of information belongs to.,
TAPS Account Data,T-7-BUSINESS_DATE,BUSINESS_DATE,7,String,7/7/2023 0:00,,COB Date,Close of business date for which the report is run.,
TAPS Account Data,T-7-FILL_FORWARD_FLAG,FILL_FORWARD_FLAG,7,String,N,,Fill Forward Flag,"Flag indicating whether a fill forward (or ""roll forward"") has taken place for the row of information.",
TAPS Account Data,T-7-DEFAULT_SET_FLAG,DEFAULT_SET_FLAG,7,String,N,,Default Set Flag,Indicates whether the dataset is the default for the run of information.,
TAPS Account Data,T-7-EXCEPTION_ROW_FLAG,EXCEPTION_ROW_FLAG,7,String,N,,Exception Row Flag,,
TAPS Account Data,T-7-EXCEPTION_SIGNOFF,EXCEPTION_SIGNOFF,7,String,Y,,Exception Signoff,,
TAPS Account Data,T-7-MATURITY_DATE,MATURITY_DATE,7,String,None,,Contractual Maturity Date,The maturity date of the instrument.,
TAPS Account Data,T-7-ENTRY_TS,ENTRY_TS,7,Datetime,2023-06-22 07:42:54.151362 - 2023-09-03 16:04:22.805689,,Entry TS,,
TAPS Account Data,T-7-LEGAL_ENTITY,LEGAL_ENTITY,7,String,6262,,Entity Code,,
TAPS Account Data,T-7-TAPS_TRADING_ACCOUNT,TAPS_TRADING_ACCOUNT,7,String,0810118V3,,TAPS Trading Account,The firm trading account of the position.,
TAPS Account Data,T-7-COST_CENTRE,COST_CENTRE,7,String,3M19,,Cost Centre,,
TAPS Account Data,T-7-PARTY_ID,PARTY_ID,7,String,BBB02795287,,Party ID,,
TAPS Account Data,T-7-ACCOUNT_CATEGORY,ACCOUNT_CATEGORY,7,String,6H,,Account Type Name,The firm account category of a TAPS account.,
TAPS Account Data,T-7-TAPS_ACCOUNT_NAME,TAPS_ACCOUNT_NAME,7,String,THE BANK OF EAST ASIA (CHINA)     MS101783970,,,,
TAPS Account Data,T-7-BUSINESS_DIVISION,BUSINESS_DIVISION,7,String,FID,,Business Division,,
TAPS Account Data,T-7-BUSINESS_DEFINITIONS,BUSINESS_DEFINITIONS,7,String,MSBIC SCG,,Business Definitions,,
TAPS Account Data,T-7-GENERAL_ACCOUNT_USAGE,GENERAL_ACCOUNT_USAGE,7,String,Banking/Clearing/Exchange,,,,
TAPS Account Data,T-7-SPECIFIC_ACCOUNT_USAGE,SPECIFIC_ACCOUNT_USAGE,7,String,Deposits,,,,
TAPS Account Data,T-7-ACCOUNT_STATUS,ACCOUNT_STATUS,7,String,A,,,,
TAPS Account Data,T-7-AXIOM_TRADING_NAME,AXIOM_TRADING_NAME,7,String,None,,,,
TAPS Account Data,T-7-AXIOM_TRADING_NAME_ID,AXIOM_TRADING_NAME_ID,7,String,None,,,,
TAPS Account Data,T-7-DERIVED_TRADING_NAME,DERIVED_TRADING_NAME,7,String,None,,,,
TAPS Account Data,T-7-DERIVED_TRADING_NAME_ID,DERIVED_TRADING_NAME_ID,7,String,None,,,,
TAPS Account Data,T-7-FIRM_BTI,FIRM_BTI,7,String,None,,,,
TAPS Account Data,T-7-LEGAL_ENTITY_BTI,LEGAL_ENTITY_BTI,7,String,None,,,,
TAPS Account Data,T-7-GROUP_BTI,GROUP_BTI,7,String,None,,,,
Legal Entities,T-8-ROW_ID,ROW_ID,8,Integer,38 - 23363,,Row ID,The row identifier of the dataset.,
Legal Entities,T-8-RUN_ID,RUN_ID,8,Integer,427403 - 1269562,,Run ID,The run number for the table of information.,
Legal Entities,T-8-TABLE_ID,TABLE_ID,8,Integer,8/8/2023 0:00,,Table ID,The table/feed ID for which the row of information belongs to.,
Legal Entities,T-8-BUSINESS_DATE,BUSINESS_DATE,8,String,10/27/2021 0:00,,COB Date,Close of business date for which the report is run.,
Legal Entities,T-8-FILL_FORWARD_FLAG,FILL_FORWARD_FLAG,8,String,N,,Fill Forward Flag,"Flag indicating whether a fill forward (or ""roll forward"") has taken place for the row of information.",
Legal Entities,T-8-DEFAULT_SET_FLAG,DEFAULT_SET_FLAG,8,String,N,,Default Set Flag,Indicates whether the dataset is the default for the run of information.,
Legal Entities,T-8-EXCEPTION_ROW_FLAG,EXCEPTION_ROW_FLAG,8,String,N,,Exception Row Flag,,
Legal Entities,T-8-EXCEPTION_SIGNOFF,EXCEPTION_SIGNOFF,8,String,Y,,Exception Signoff,,
Legal Entities,T-8-MATURITY_DATE,MATURITY_DATE,8,String,None,,Contractual Maturity Date,The maturity date of the instrument.,
Legal Entities,T-8-ENTRY_TS,ENTRY_TS,8,Datetime,2021-10-27 17:40:10.572102 - 2023-09-18 03:10:10.635486,,Entry TS,,
Legal Entities,T-8-PARTY_ID,PARTY_ID,8,String,BBB00319701,,Party ID,,
Legal Entities,T-8-PARENT_LEGAL_ENTITY,PARENT_LEGAL_ENTITY,8,String,101,,,,
Legal Entities,T-8-LEGAL_ENTITY,LEGAL_ENTITY,8,String,101,,Entity Code,,
Legal Entities,T-8-LEGAL_ENTITY_TYPE,LEGAL_ENTITY_TYPE,8,String,Subsidiary,,,,
Legal Entities,T-8-LEGAL_ENTITY_NAME,LEGAL_ENTITY_NAME,8,String,Morgan Stanley,,,,
Legal Entities,T-8-PRIMARY_DIVISION,PRIMARY_DIVISION,8,String,Company,,Primary Division,,
Legal Entities,T-8-BUSINESS_UNIT,BUSINESS_UNIT,8,String,Company,,Business Unit,,
Legal Entities,T-8-LEGAL_ENTITY_STATUS,LEGAL_ENTITY_STATUS,8,String,Open,,,,
Legal Entities,T-8-LE_COUNTRY_CODE,LE_COUNTRY_CODE,8,String,USA,,,,
Legal Entities,T-8-COUNTRY_NAME,COUNTRY_NAME,8,String,USA,,,,
Legal Entities,T-8-BUSINESS_SEGMENT,BUSINESS_SEGMENT,8,String,Company,,Business Segment,,
Legal Entities,T-8-IS_UK_GROUP,IS_UK_GROUP,8,String,Y,,,,
Legal Entities,T-8-GL_COMPANY_CD,GL_COMPANY_CD,8,String,101,,,,
Defined Liquidity Groups,T-9-ROW_ID,ROW_ID,9,Integer,1 - 746,,Row ID,The row identifier of the dataset.,
Defined Liquidity Groups,T-9-RUN_ID,RUN_ID,9,Integer,427382 - 1270190,,Run ID,The run number for the table of information.,
Defined Liquidity Groups,T-9-TABLE_ID,TABLE_ID,9,Integer,9/9/2023 0:00,,Table ID,The table/feed ID for which the row of information belongs to.,
Defined Liquidity Groups,T-9-BUSINESS_DATE,BUSINESS_DATE,9,String,10/27/2021 0:00,,COB Date,Close of business date for which the report is run.,
Defined Liquidity Groups,T-9-FILL_FORWARD_FLAG,FILL_FORWARD_FLAG,9,String,N,,Fill Forward Flag,"Flag indicating whether a fill forward (or ""roll forward"") has taken place for the row of information.",
Defined Liquidity Groups,T-9-DEFAULT_SET_FLAG,DEFAULT_SET_FLAG,9,String,N,,Default Set Flag,Indicates whether the dataset is the default for the run of information.,
Defined Liquidity Groups,T-9-EXCEPTION_ROW_FLAG,EXCEPTION_ROW_FLAG,9,String,N,,Exception Row Flag,,
Defined Liquidity Groups,T-9-EXCEPTION_SIGNOFF,EXCEPTION_SIGNOFF,9,String,Y,,Exception Signoff,,
Defined Liquidity Groups,T-9-MATURITY_DATE,MATURITY_DATE,9,String,None,,Contractual Maturity Date,The maturity date of the instrument.,
Defined Liquidity Groups,T-9-ENTRY_TS,ENTRY_TS,9,Datetime,2021-10-27 17:00:37.316922 - 2023-09-20 17:02:00.226554,,Entry TS,,
Defined Liquidity Groups,T-9-DLG_ID,DLG_ID,9,Integer,1/1/1957 0:00,,,,
Defined Liquidity Groups,T-9-LEGAL_ENTITY,LEGAL_ENTITY,9,String,302,,Entity Code,,
Defined Liquidity Groups,T-9-PARTY_ID,PARTY_ID,9,String,BBB00319961,,Party ID,,
Defined Liquidity Groups,T-9-DLG_NAME,DLG_NAME,9,String,DLG 0302,,,,
Central Bank Access,T-10-ROW_ID,ROW_ID,10,Integer,1/9/2023 0:00,,Row ID,The row identifier of the dataset.,
Central Bank Access,T-10-RUN_ID,RUN_ID,10,Integer,427391 - 1270197,,Run ID,The run number for the table of information.,
Central Bank Access,T-10-TABLE_ID,TABLE_ID,10,Integer,10/10/2023 0:00,,Table ID,The table/feed ID for which the row of information belongs to.,
Central Bank Access,T-10-BUSINESS_DATE,BUSINESS_DATE,10,String,10/27/2021 0:00,,COB Date,Close of business date for which the report is run.,
Central Bank Access,T-10-FILL_FORWARD_FLAG,FILL_FORWARD_FLAG,10,String,N,,Fill Forward Flag,"Flag indicating whether a fill forward (or ""roll forward"") has taken place for the row of information.",
Central Bank Access,T-10-DEFAULT_SET_FLAG,DEFAULT_SET_FLAG,10,String,N,,Default Set Flag,Indicates whether the dataset is the default for the run of information.,
Central Bank Access,T-10-EXCEPTION_ROW_FLAG,EXCEPTION_ROW_FLAG,10,String,N,,Exception Row Flag,,
Central Bank Access,T-10-EXCEPTION_SIGNOFF,EXCEPTION_SIGNOFF,10,String,Y,,Exception Signoff,,
Central Bank Access,T-10-MATURITY_DATE,MATURITY_DATE,10,String,None,,Contractual Maturity Date,The maturity date of the instrument.,
Central Bank Access,T-10-ENTRY_TS,ENTRY_TS,10,Datetime,2021-10-27 18:00:40.362540 - 2023-09-20 18:02:14.655505,,Entry TS,,
Central Bank Access,T-10-LEGAL_ENTITY,LEGAL_ENTITY,10,String,201,,Entity Code,,
Central Bank Access,T-10-CENTRAL_BANK_NAME,CENTRAL_BANK_NAME,10,String,FED,,,,
Central Bank Access,T-10-FACILITY_NAME,FACILITY_NAME,10,String,Term Securities Lending Facility,,Facility Name,,
Product Data,T-11-ROW_ID,ROW_ID,11,Integer,2 - 180820,,Row ID,The row identifier of the dataset.,
Product Data,T-11-RUN_ID,RUN_ID,11,Integer,1265481 - 1265481,,Run ID,The run number for the table of information.,
Product Data,T-11-TABLE_ID,TABLE_ID,11,Integer,11/11/2023 0:00,,Table ID,The table/feed ID for which the row of information belongs to.,
Product Data,T-11-BUSINESS_DATE,BUSINESS_DATE,11,String,8/21/2023 0:00,,COB Date,Close of business date for which the report is run.,
Product Data,T-11-FILL_FORWARD_FLAG,FILL_FORWARD_FLAG,11,String,N,,Fill Forward Flag,"Flag indicating whether a fill forward (or ""roll forward"") has taken place for the row of information.",
Product Data,T-11-DEFAULT_SET_FLAG,DEFAULT_SET_FLAG,11,String,N,,Default Set Flag,Indicates whether the dataset is the default for the run of information.,
Product Data,T-11-EXCEPTION_ROW_FLAG,EXCEPTION_ROW_FLAG,11,String,N,,Exception Row Flag,,
Product Data,T-11-EXCEPTION_SIGNOFF,EXCEPTION_SIGNOFF,11,String,Y,,Exception Signoff,,
Product Data,T-11-MATURITY_DATE,MATURITY_DATE,11,String,None,,Contractual Maturity Date,The maturity date of the instrument.,
Product Data,T-11-ENTRY_TS,ENTRY_TS,11,Datetime,2023-08-21 12:53:45.664199 - 2023-08-21 16:21:36.090307,,Entry TS,,
Product Data,T-11-ISIN,ISIN,11,String,JP3357800006,,,,
Product Data,T-11-CUSIP,CUSIP,11,String,99ANR8Q72,,CUSIP,The CUSIP identifier of the instrument.,
Product Data,T-11-SECURITY_LONG_DESCRIPTION,SECURITY_LONG_DESCRIPTION,11,String,THE SHIMANE BANK LTD,,,,
Product Data,T-11-PRODUCT_HIERARCHY_LEVEL_1,PRODUCT_HIERARCHY_LEVEL_1,11,String,Corporate Equities,,Product Hierarchy Level 1,,
Product Data,T-11-PRODUCT_HIERARCHY_LEVEL_2,PRODUCT_HIERARCHY_LEVEL_2,11,String,STOCK,,Product Hierarchy Level 2,,
Product Data,T-11-PRODUCT_HIERARCHY_LEVEL_3,PRODUCT_HIERARCHY_LEVEL_3,11,String,Listed,,Product Hierarchy Level 3,,
Product Data,T-11-PRODUCT_HIERARCHY_LEVEL_4,PRODUCT_HIERARCHY_LEVEL_4,11,String,Listed Stock,,Product Hierarchy Level 4,,
Product Data,T-11-PRODUCT_HIERARCHY_LEVEL_5,PRODUCT_HIERARCHY_LEVEL_5,11,String,Listed Stock,,Product Hierarchy Level 5,,
Product Data,T-11-ISSUER_COUNTERPARTY_ID,ISSUER_COUNTERPARTY_ID,11,String,BBB02961313,,,,
