Name,Description
Counterparty Risk Classification,"The risk classification of a counterparty, which helps assess the creditworthiness of the party involved in a financial transaction"
Counterparty Identifier,Unique identifier for each counterparty involved in a financial transaction
Country of Counterparty,The country where the counterparty is located
Country of Organization,The country where the counterparty's organization is located
Country of Origin,The country where a counterparty is located or conducts business
Time Stamp,Records the exact time when a new entry is added or updated in the counterparty details
Industry Classification,"The industry or sector that a counterparty belongs to, as defined by the Financial Stability Board's (FSB) Global Legal Entity Identifier System (GLEIS)"
Legal Entity Structure,"The legal form of a counterparty, representing its organizational structure"
Unique Counterparty Identifier,A unique alphanumeric code assigned to each counterparty in the system
Unique Identifier for Counterparty,A unique identifier assigned to each counterparty in the system
Ultimate Party Identifier,Unique identifier for the ultimate party involved in a financial transaction
Ultimate Party Name,The name of the final counterparty involved in a financial transaction
Above Barrier,Indicates whether the counterparty's commercial paper is above the barrier level
Activity Type,Type of activity related to the commercial paper issued by a counterparty
Unutilized Balance Limit,The maximum unutilized balance limit for commercial paper transactions with counterparties
Adjusted Balance Utilized,"The adjusted balance of the commercial paper account, which may include any unutilized amounts or adjustments"
Adjusted Maximum Amount,The maximum amount of money that can be adjusted for a commercial paper issued by a counterparty
Asset Class,"The type of financial asset, such as equity, debt, or cash"
Available Market Value,The current market value of the commercial paper that is available for trading
Available Commercial Paper Quantity,The quantity of commercial paper available for trading or investment purposes
Average Age of Commercial Papers,The average age of commercial papers issued by counterparties
Counterparty Commercial Paper Balance,The outstanding balance of commercial paper issued by counterparties
Barrier Direction,"The direction of the barrier in a financial contract, which can be either 'Long' or 'Short'"
Barrier Proximity,"The proximity of a barrier in a financial instrument, often used in exotic options"
Fair Value of Commercial Paper,Estimated market value of commercial paper issued by counterparties
Fixed Spread for Counterparty Commercial Paper,The fixed interest rate spread applied to the commercial paper issued by counterparties
Broker-Dealer Present Value - USD,"Estimated present value of commercial paper issued by counterparties, denominated in US dollars"
Business Division,The department or unit within the organization responsible for a specific function or set of activities
Cash or Non-Cash Collateral,Indicates whether the collateral provided for a commercial paper transaction is in cash or non-cash form
Restated Cash Value,"The cash value of commercial papers, restated in the counterparty's currency"
Central Bank Name,The name of the central bank associated with the commercial paper issuer
Average Commercial Paper Life,The average remaining maturity period of commercial papers issued by counterparties
Commercial Paper Maturity Date,The date on which the commercial paper issued by a counterparty will mature
Average Life of Counterparty Issued Commercial Paper,"The average duration, in years, of counterparty issued commercial paper before maturity"
Commercial Paper Expiration Date,The date on which a commercial paper (debt security issued by a corporation) is due to expire
Average Market Life of Counterparty Commercial Paper,The average remaining time until maturity for commercial paper issued by counterparties
Commercial Paper Rate,Interest rate applied to commercial paper issued by counterparties
Worst Expected Maturity Date,The date on which the commercial paper is expected to have the worst possible interest rate among all its maturity dates
Average Reverse Life,"The average remaining maturity of the commercial paper, calculated from the current date to the maturity date, assuming the commercial paper is issued continuously."
Reverse Exposure Maturity Date,The date when the counterparty's reverse exposure matures
City of Counterparty,The city where the counterparty is located or operates
Client Identifier,Unique alphanumeric code assigned to each client for identification purposes
Counterparty Risk Complexity,"The level of risk associated with a counterparty's commercial paper investment, taking into account various factors such as region, industry, and other relevant characteristics"
Counterparty Commercial Paper Identifier,Unique identifier for commercial paper issued by a counterparty
Compound Master Position,Aggregated position information for a specific counterparty's commercial paper
Compound Master Price,"The price of a financial instrument, which may include multiple components or factors"
Counterparty Currency,The currency in which the commercial paper is issued by the counterparty
Currency Exchange Rate,Rate at which one currency is exchanged for another in commercial paper transactions
Current Notional Amount,"The current face value of a financial instrument, typically used for calculating cash flows or payments"
CUSIP Identifier,Unique identifier for commercial paper issued by a counterparty
Average Life of Commercial Paper,"The average duration, in days, of commercial paper issued by a counterparty"
Maturity Period,The number of days until the commercial paper issued by a counterparty reaches its maturity
Commercial Paper Identifier,Unique identifier assigned to each commercial paper deal issued by a counterparty
Debit Cash Allocation,The amount of cash debited from the account for commercial paper transactions
Unutilized Debit Cash Amount,The amount of unused cash from debit transactions for commercial paper issuance
Debit Cash Utilized,The amount of cash debited from the account for commercial paper transactions
Default Status Indicator,Indicates whether the counterparty has a default status or not
Trading Direction,Indicates whether the commercial paper is being bought or sold
Early Termination Type,The type of early termination clause present in commercial paper agreements
Counterparty Deal Type,Type of financial deal involving a counterparty in the commercial paper market
Commercial Paper Issuance Timestamp,The exact time when a commercial paper was first entered into the system
Expected Maturity Date,The anticipated date on which a commercial paper will reach its full maturity and the principal amount must be repaid
Unique Financial Asset Identifier,A unique identifier assigned to each financial asset issued by a counterparty
Financial Account Identifier,Unique identifier for financial accounts in the system
Feed Type,Type of data feed used for commercial paper transactions
Flow Indicator,Indicates whether the commercial paper is part of a flow transaction or not
French Over-the-Counter (OTC) Indicator,Indicates whether the commercial paper is issued by a French counterparty and traded over-the-counter
Fund Strategy,The investment strategy or objective followed by a fund
Haircut Value,"The difference between the market value of a security and its book value, expressed as a percentage"
Hedging Instrument Identifier,Unique identifier for a hedging instrument issued by a counterparty
Hedge Value Used,The amount of hedge value utilized for commercial paper transactions with counterparties
Hedge Swap Mark,The mark-to-market value of a hedge swap transaction related to commercial paper issued by counterparties
Hybrid Indicator,Indicates whether the commercial paper is a hybrid product or not
Unique Identifier for Counterparty Issued Commercial Paper,A unique alphanumeric identifier assigned to each counterparty-issued commercial paper
Instrument Role,The type of financial instrument issued by the counterparty
International Securities Identification Number (ISIN),"A unique identifier for financial instruments, including commercial papers, issued by a counterparty"
Issuance Buyback Type,Type of buyback arrangement for issued commercial paper
Counterparty Issued Commercial Paper,"A financial instrument issued by a counterparty, typically a financial institution, in the form of a short-term, unsecured debt instrument"
Currency of Issue,The currency in which the commercial paper is issued by the counterparty
Issue Date,Date on which the commercial paper was issued by the counterparty
Issue Price,Price at which the commercial paper is issued by the counterparty
Funding Status,Indicates whether the commercial paper is funded or not
Counterparty Risk Level,Risk level associated with a counterparty involved in commercial paper transactions
Loan Foundations Daily Call Payment Amount,The daily payment amount for call options on loan foundations
Counterparty Commercial Paper Spread,Difference between the interest rate on a commercial paper issued by a counterparty and the current market rate
Commercial Paper Spread,Difference between the interest rate on a commercial paper and a benchmark interest rate
Pre-Call Spread,"Difference between the interest rate on a loan and the interest rate on a commercial paper, before the call option is exercised"
Loan Initial Staturement Date,Date when the loan agreement was initially established
Commercial Paper Notional Value,The total value of the commercial paper issued by a counterparty
Market Designation,The market where the commercial paper is issued
Market Value of Commercial Paper,The current market price of commercial paper issued by counterparties
Markit Identifier,Unique identifier assigned by Markit to a specific financial instrument
Master Agreement,Overarching contract governing the relationship between counterparties in commercial paper transactions
Maximum Barrier Percentage,The highest percentage of the total notional amount of a commercial paper that can be used as collateral
Negative Excess Reserves in USD,The negative value of excess reserves held by counterparties in US Dollars
Minimum Barrier Percentage,The lowest acceptable value for a specific financial barrier in a commercial paper transaction
Counterparty CUSIP,Unique identifier for counterparties issued commercial paper
Funding Currency,The currency in which the counterparty issues commercial paper
Next Call Date,The date on which the issuer of commercial paper may call the security for redemption
Next External Notice Date,The date by which the counterparty must provide notice to the bank if they plan to exercise their right to call the commercial paper
Next Call Interest Notice Date,The date on which the next interest payment is scheduled to be made on a commercial paper issued by a counterparty
Probability of Next Call Event,"The likelihood of a specific event occurring in the next period, in the context of commercial paper transactions with counterparties"
Next Call Settlement Date,The date on which the next interest payment or principal payment is scheduled to be made on a commercial paper issued by a counterparty
Note Currency,Currency in which the commercial paper is denominated
Notional Amount,"The nominal or face value of a financial instrument, often used in derivatives trading"
Notional Amount - Tax Disadvantaged Monetary Instruments,The total amount of tax disadvantaged financial instruments issued by counterparties
Notional Amount - Commercial Paper,"The total amount of money involved in commercial paper transactions, excluding interest"
Payoff Model,The specific financial model used to calculate payoffs for commercial paper transactions
Counterparty Commercial Paper Portfolio,A list of commercial papers issued by counterparties and held in the portfolio
Currency Exposure Adjustment,The difference in the value of a financial instrument due to fluctuations in currency exchange rates
Counterparty Issued Commercial Paper Gamma,Sensitivity of the commercial paper's value to changes in the underlying interest rates
Counterparty Risk Exposure,The financial exposure resulting from a counterparty's potential inability to fulfill its contractual obligations
Position Rho Asset,Sensitivity of the position's value to changes in the interest rate
Premium Currency,The currency in which the premium is denominated for commercial paper transactions
Commercial Paper Premium Currency Rate,The premium rate associated with commercial paper transactions in a specific currency
Pricing Type,The type of pricing used for commercial papers issued by counterparties
Counterparty Process,The process related to the counterparty involved in the commercial paper issuance
Pre-tax VaR Weekly Exc Rate USD,Pre-tax Value-at-Risk (VaR) weekly exposure rate in US Dollars
Commercial Paper Quantity,The total amount of commercial paper issued by counterparties
Commercial Paper Ratio,The ratio of the total amount of commercial paper issued by a counterparty to the total amount of commercial paper outstanding
Regional Risk Manager,The person responsible for managing risks associated with commercial paper issued by counterparties in a specific region
Unutilized Balance,The remaining balance of a line of credit that has not yet been utilized
Restated Balance Utilized,The restated balance of the utilized amount for commercial paper issued by a counterparty
Risk Manager,The person responsible for managing risk related to commercial paper issued by counterparties
Risk Management System,A software application used to manage and analyze risks associated with commercial paper transactions
Unique Identifier for Commercial Paper,A unique alphanumeric code assigned to each commercial paper issued by a counterparty
Counterparty Commercial Paper Program Unique Identifier,A unique identifier assigned to each commercial paper program issued by a counterparty
Sales Desk Name,The name of the sales desk responsible for managing commercial paper transactions
Sales Person Identifier,Unique identifier for the sales person responsible for the commercial paper transaction
Settlement Date,Date on which the commercial paper transaction is scheduled to be settled
Data Source,Identifies the source of the data in the system
Counterparty State,State of the counterparty involved in the commercial paper transaction
Strike Date,The date on which the commercial paper will reach its maturity and the underlying contract will be exercised
Survival Probability,The likelihood that a counterparty will survive or default on its commercial paper obligations
Previous 10% Expected Exposure Matrix,"A matrix displaying the expected exposure of the financial institution to counterparties, with a focus on the previous 10% of the total exposure."
Expected Exposure at Expiration,Estimated financial exposure of a commercial paper at its expiration date
Average Life of 5% Minus Bonds,"The average remaining life of commercial paper (CP) issued by counterparties, considering a 5% decrease in the face value of the bond"
Expected 5-Year Exponential Moving Average Spread,Projected average spread of the 5-year exponential moving average for commercial paper issued by counterparties
Average Life of S&P 10% Percentage Increase,The average remaining time until the S&P 10% Percentage Increase security matures
Average Life of S&P 20 Percent Issued Commercial Paper,"The average remaining life of Standard & Poor's 20 Percent Issued Commercial Paper, expressed as a percentage of the original maturity."
S&P 20 Percent Expected Maturity Amount,Expected maturity amount for Standard & Poor's 20 Percent commercial paper
Average Life of S&P 500 Percentage of Notional Outstanding,The average remaining life of Standard & Poor's 500 percentage of notional outstanding commercial paper issued by counterparties
Trading Book Indicator,Indicates whether a commercial paper is part of the trading book or not
Trading Region,Geographic area where the commercial paper is traded
Triparty Market Value,"The current market value of the commercial paper, as determined by a third-party entity"
Triparty Quantity,"The amount of commercial paper issued by a counterparty, managed by a third party"
Underlying Assets,The financial instruments or investments that a commercial paper is linked to
Underlying Issue Type,Type of financial instrument underlying the commercial paper issued by the counterparty
Market Value of Unused Available Commercial Paper,The current market value of unused available commercial paper issued by counterparties
Maximum Exposure,The maximum possible exposure or risk associated with a financial instrument
Commercial Paper Utilization,The amount of commercial paper issued by counterparties that has been utilized or drawn upon
Wrapper Type,Type of wrapper used for commercial paper issued by counterparties
Counterparty ZIP Code,Postal code of the counterparty issuing commercial paper
Cross Currency Cash Flow Reference,Reference to the booking details of cross currency cash flows in the system
Cross Currency Cashflows,Records of financial transactions in multiple currencies
Buy Currency,Currency in which the financial institution is buying assets or securities
Cross Currency Cash Flows,Records the buy side of cross currency cash flow positions
Cross Currency Cashflow Default Setting,Indicates whether the cross currency cash flow setting is default or not
Cross Currency Cashflow End Date,The date when the cross currency cash flow process is completed
Cross Currency Cashflow Timestamps,Timestamps indicating when cash flow transactions occurred in different currencies
Cross Currency Cashflows Signoff,Indicates whether the signoff process for cross currency cashflows has been completed
Feed Name,Name of the data feed providing cross currency cash flow information
Master Swap Identifier,Unique identifier for the master swap transaction in cross-currency cash flow deals
Cross Currency Cashflow Maturity Date,Date on which a cross currency cash flow transaction is scheduled to mature
Cross Currency Cashflow Identifier,Unique identifier for each cross currency cash flow transaction
Sell Currency,Currency in which the financial institution is selling an asset or settling a transaction
Sell Currency Amount,The amount of currency sold in a cross-currency cash flow transaction
Cross Currency Cash Flow Origin,Identifies the source of cross currency cash flows in the financial transactions
Cross Currency Cashflow Start Date,The date when the cross currency cash flow event begins
Cross Currency Cashflow Unique Identifier,A unique identifier assigned to each cross currency cash flow transaction in the system
Accrued Interest Amount,The cumulative interest earned or owed on a financial instrument up to a specific date
Business Definition,A brief description of the business or purpose of the financial instrument
Business Unit,The department or division within the organization responsible for the transaction
Buy Currency in Cross Currency Interest Rate Swap,The currency that the party purchases in a cross currency interest rate swap transaction
Cross Currency Interest Rate Swap Notional,The nominal amount of the underlying assets exchanged in a cross currency interest rate swap
Remaining Notional Amount,The outstanding principal amount of a cross-currency interest rate swap that is still to be exchanged between the counterparties
Purchase Amount,The amount of money in the original currency that the buyer agrees to purchase in the swap transaction
Trade Category,Classification of trades into different categories for organizational and reporting purposes
Clearing Intention,Indicates whether a cross currency interest rate swap transaction is intended to be cleared through a central counterparty
Collateral Value,The value of collateral associated with a cross currency interest rate swap
Cross Currency Interest Rate Swap Identifier,Unique identifier for each cross currency interest rate swap contract
Counterparty Account Identifier,Unique identifier for the counterparty account involved in a financial transaction
Counterparty Designation,The unique identifier for the counterparty involved in the transaction
Credit Exposure,The maximum potential loss that a party in a financial transaction can face due to the counterparty's default or failure to meet their obligations
Current Exposure,The current market value of a cross currency interest rate swap
Day Count Convention,Method used to calculate the number of days between two dates in a financial transaction
Cross Currency IR Swap End Date,The date on which a cross currency interest rate swap transaction is scheduled to terminate
Cross Currency Interest Rate Swap Expiration Date,"The date on which a cross currency interest rate swap contract expires, determining the final settlement of the agreement"
Feed Identifier,Unique identifier for the data feed used in the Cross Currency IR Swaps
Final Exchange Indicator,A flag indicating whether the final exchange has occurred in a cross currency interest rate swap
Notional Schedule Presence,Indicates whether a Notional Schedule exists for the Cross Currency IR Swap
Index Spread,Difference between the cost of borrowing and the income from lending for an index swap transaction
Currency Swap Inflow/Outflow Indicator,Indicates whether the currency swap transaction is an inflow (true) or outflow (false) of funds for the company
Initial Exchange Indicator,Indicates whether the initial exchange of cash flows between counterparties in a Cross Currency Interest Rate Swap (IRS) has occurred
Designation Status,Indicates whether a Cross Currency IR Swap transaction is designated for risk management purposes
Legal Entity Group,A group of legal entities within the organization
Loan Identifier,Unique identifier for each loan in the cross currency IR swap transactions
Market Value of Cross Currency IR Swaps,The current market value of cross currency interest rate swap transactions
Market Value Net MX,"The net market value of cross currency interest rate swaps, expressed in millions"
Mark-to-Market Reset Indicator,A boolean flag indicating if the mark-to-market (MTM) reset condition is met for a cross currency interest rate swap
Netting Agreement Indicator,Indicates whether a netting agreement is in place for cross currency interest rate swaps
Non-Deliverable Indicator,Indicates whether the currency swap transaction is non-deliverable or not
Trade Origination Date,Date when the trade was originated or executed
Original Notional Amount,The initial principal amount agreed upon in a cross-currency interest rate swap transaction
Payment Coupon Rate,Interest rate paid by the receiver of the cross currency interest rate swap
Processing Date,Date on which the Cross Currency IR Swap transaction was processed
Interest Rate Benchmark,The reference interest rate used for calculating payments in cross currency interest rate swap transactions
Interest Rate Type,Specifies the type of interest rate used in a cross currency interest rate swap
Cross Currency IR Swap Unique Identifier,A unique identifier assigned to each Cross Currency Interest Rate Swap transaction
Interest Rate Swap Run Identifier,Unique identifier for each Interest Rate Swap transaction run
Sell Currency in Cross Currency IR Swap,The currency that the bank sells in a cross currency interest rate swap transaction
Sell MTM Notional,The current market value of the sold portion of a cross currency interest rate swap
Sell MTM Remaining Notional,The remaining notional amount of the sell side of an Interest Rate Swap (IRS) that has been marked-to-market (MTM)
Sell Cross Currency Interest Rate Swap Notional Amount,The amount in the foreign currency that one party agrees to pay in a cross currency interest rate swap transaction
Trade Source,Identifies the source of the trade or transaction in the system
Swap Leg Type,Identifies the type of leg in a cross currency interest rate swap
Trade Start Date,Date when the financial trade begins
