Feed Source Name,Feed Source EONID,Galaxy Resource Name,Source Short Name,Description,Primary Technology System Owner,Dev Mail Group,TAI Link,Relevant Link
Big Mac,3750,grn:/ms/fid/ddi/BigMacDDI,,,,,,
BMET,47071,grn:/ms/fid/bondtrading/BMET,,,,,,
Brain,4371,grn:/ms/ied/etsdb/strategicDataInitiative/brain,,,,,,
BRM Metrics and Reporting,17823,grn:/ms/ideas/funding/brmmetrics,BRM Metrics and Reporting,BRM metrics is a data warehouse that provides users access and tools to analyze secured financing data.,,,http://taisc.webfarm.ms.com/ui/#/asset/17823,http://wiki.ms.com/Qapmeng/ApexUI_AnnualValidation
Cage (KGS),10079,grn:/ms/gwm/KGC,Cage (KGS),grn:/ms/gwm/KGC,Gary Matyash,gwm-kgs-dev,http://taidw.webfarm.ms.com/ui/#/ds/cidb/resources/System/10079/attributes,
Chrysalis,,ctrls/chrysalis3/3.6.2,Chrysalis,,,,,http://taidw.webfarm.ms.com/ui/#/ds/cidb/resources/VMS%20Release/ctrls%2Fchrysalis3%2F3.6.2/attributes
CM Core,38306,grn:/ms/stp/treasury/argent/CMCore,,,,,,
COMPASS,207,grn:/ms/company/controllers/Company/COMPASS,,,,,,
CoRisk1,3725,grn:/ms/fid/commodities/corisk1,CoRisk1,"Risk aggregation data warehouse for risk generated by commodities ComRisk system.  Corisk1 provides convenient tools for querying risk information across desks and dates, which is used by BU Risk Managers, MRD, and Finance.   Corisk1 supports various functions that need access to department-wide risk data including regulatory reporting, feeds to Risk Data Fabric (RDF), T+1 Trader Risk Signoff, Limits/FLOW, LVA and Concentration VA.  Corisk1 also supports risk-based mark review process for commodities.",Dan Rosewater,commod-feeds-dev,http://taidw.webfarm.ms.com/ui/#/ds/cidb/resources/System/3725/attributes,http://corisk1/
Credit File Application,6129,grn:/ms/pwm/asiaapps/Apmargincall,Credit File Application,,,,,
Credit Risk RDX,3748,grn:/ms/company/creditrisk/RDX,,,,,,
CreditOne,3739,grn:/ms/fid/credit/CreditOne,CreditOne,"CreditOne is the Credit Derivatives Trading and Risk Management system. It is in use by the Corporate Credit Group, Securitized Products Group, and Emerging Markets trading desks for trade entry, market data entry, risk management and P&L attribution.",Nathan Coelen,fidcred,http://taidw.webfarm.ms.com/ui/#/ds/cidb/resources/System/3739/attributes,
CREL-AMOS,35002,grn:/ms/fid/spg/CREL-AMOS,CREL-AMOS,US large loan Commercial Real Estate origination platform used by said business unit. A 2-tier system with an access front-end and a DB that holds loan data. Outbound data is aggregated in CREL and CREW (replacement system) for further downstream reporting.  Access is controlled via Data Privilege.,Sacha Fleury,amosappsupport,http://taidw.webfarm.ms.com/ui/#/ds/cidb/resources/System/35002/attributes,
CVA Trader,563,grn:/ms/company/creditrisk/CVATrader,CVATrader,"CVA Trader is the system for management of counterparty risk. It computes P&L and risks, provides reports and interactive tools for the traders and datafeeds to firmwide horizontal systems (RiskVision, Risk-1 etc).",Vitaly Kagan,cvatraderdev,http://taidw.webfarm.ms.com/ui/#/ds/cidb/resources/System/563/attributes,http://cpriskpa
CWB,47889,grn:/ms/pds/Detailed-Subledger/apps/CWB,,,,,,
DataHubs (Reporting),6537,grn:/ms/stp/listedDerivatives/DataHubs_deco,DataHubs (Reporting),"Datahubs application is a distributed application in Listed Derivatives, client reporting domain, implemented for the purpose of generating Client daily trading activity report in csv, txt, xml formats etc to help the clients to use these reports for their daily reconciliation. The source of this information is Statements Data Mart, ODS and RTP (Real Time Positions). **Duplicate record of EON ID 6599",,lddh-dev,http://taidw.webfarm.ms.com/ui/#/ds/cidb/resources/System/6537/attributes,
Datalink (SRD),3258,grn:/ms/entdata/accessdist/dataaccess/Datalink,Datalink,"Datalink provides data distribution interfaces to query product, pricing and elemental data from internal and external data source systems (Refinitiv and Bloomberg) to internal applications within the firm. We also support a small set of services which distributes client reference data. Datalink does not store any data and makes read requests to data sources on behalf of the calling system.",Abhishek Jain,,http://taidw.webfarm.ms.com/ui/#/ds/cidb/resources/System/3258/attributes,
Delphi,7319,grn:/ms/stp/treasury/FundingForecasting/Delphi,Delphi,"Delphi provides a global cash movement reporting resource that maintains a real-time up-to-date and historical view of actual and forecasted cash positions. This is primarily used by Cash Management for funding, forecasting, and regulatory reporting.",Anurag Pandey,proteus-dev-team,http://taidw.webfarm.ms.com/ui/#/ds/cidb/resources/System/7319/attributes,http://wiki.ms.com/twiki/cgi-bin/view/CashMgmtIT/ProteusDevelopment
DerivOne,12754,grn:/ms/ideas/otc_tech/confirms/DerivOne,DerivOne,"DerivOne is an analytical reporting and data distribution platform for FID and Equity OTC Derivatives Transactions that provides standard adhoc query capabilities using industry standard Business Intelligence (BI) tools to Operations, data to downstream systems, and reports/extracts to external Clients and regulatory venues. Examples of downstream systems: EGTS, IMRS, GTRS, MAGNET etc.",Feng Chen,deriv1_dev,http://taidw.webfarm.ms.com/ui/#/ds/cidb/resources/System/12754/attributes,http://mydlmview/DLM-7268
Detailed Subledger,47868,grn:/ms/pds/Detailed-Subledger,DSL,"The Detailed Sub Ledger is a collection of components that make up the functions required for ISG to control and report the balance sheet based on a Risk aligned population.
This includes data sourcing, accounting engine, data ingestion to the warehouse, reporting/GUI, adjustments and posting to the general ledger.",Chris Grayston,dsl_core_dev,http://taisc.webfarm.ms.com/ui/#/asset/47868/attributes,http://ledger
DSL Loans,40833,grn:/ms/pds/Detailed-Subledger/products/DSL-Loans,,,,,,
E*GTS,3759,grn:/ms/fid/derivproc/E_GTS,E*GTS,"E*GTS is the OTC Exposure Management application.  It facilitates credit risk monitoring, master document tracking and credit exposure enquiry functionality. Contains information such as whether the party requires upfront collateral, the type of counterparty, collateral amount (account collateral management). The application also provides collateral management functionality used by the Collateral Management Group.",Snigdha Singh,gts_dev,http://taidw.webfarm.ms.com/ui/#/ds/cidb/resources/System/3759/attributes,
Exchange Collateral - Sharepoint,53326,grn:/ms/ExColl,ExColl,"The Client and Firm Collateral balances are reported daily on a T+1 basis. Each business day, data providers input Firm and Client balances, via a Collateral SharePoint site. The balances are verified via a viriance check based on day-on-day swing tolerances, the validated files are uploaded at end-of-day (EOD) to the Global Operating Metrics (GOMetrics) SharePoint site for sourcing to Qlikview.",ryankevi,,http://taidw.webfarm.ms.com/ui/#/ds/cidb/resources/System/53326/attributes,http://sharepoint-eu.ms.com/ops/globalexchangecollat/default.aspx%20
FDW Axiom LN,12664,grn:/ms/company/controllers/LN/AxiomLN,,,,,,
FDW El Hombre,487,grn:/ms/company/controllers/FinanceDataWarehouse/elhombre,,,,,,
FDW FDWDB,65979,grn:/ms/company/controllers/FinanceDataWarehouse/fdwdb,,,,,,
FDW ODESSA,484,grn:/ms/company/controllers/FinanceDataWarehouse/ODESSA,,,,,,
FID1,3372,grn:/ms/entdata/products/FID1,FID1,"FID1 is a centralized database of fungible, fixed-income cash and derivative product reference data.  As a single data source with a one set of rules for data cross-reference, transformation, and integration, FID1 enables trading, settlement and risk systems reference the same product data, eliminating IT costs associated with maintaining multiple product databases. FID1 reduces manual entry & eliminates dual entry into the mainframe Product Security File through Pipeline process. FID1 provides a centralized, structured model for product maintenance. FID1 enables Product Data Operations to create securities as well as make necessary corrections to data loaded from various vendors via overrides. FID1 is used by many of the Institutional Securities applications and desks involved with sales, trading, analytics, pricing, risk reporting and client reporting activities. FID1 is also used by non Fixed Income departments such as Company IT, Wealth Management, Legal & Compliance, Prime Brokerage, Corporate Treasury, etc.",Sanjai Agarwal,fid1dev,http://taidw.webfarm.ms.com/ui/#/ds/cidb/resources/System/3372/attributes,http://fid1/
Finanace Data Warehouse,482,grn:/ms/company/controllers/FinanceDataWarehouse,,,,,,
Finance Data Warehouse,52130,grn:/ms/fdw,FDW,"The Finance Data Warehouse (FDW) integrates data from several authorized sources into a single structure to meet the reporting requirements of Finance applications, including the Detail Subledger (DSL), Regulatory Reporting, and the General Ledger. The intended users of the FDW are Global Product Control, Regulatory Controllers, and Company Controllers.",,,http://taidw.webfarm.ms.com/ui/#/ds/cidb/resources/System/52130/attributes,http://wiki.ms.com/FinanceDatamart/WebHome
Financing Cost Attribution,11563,grn:/ms/pb/finance/FinancingCostAttribution,Financing Cost Attribution (FCA),Solution to calculate net carry rates for BRM & controllers.,Akriti Tibrewala,fca-developers,http://taisc.webfarm.ms.com/ui/#/asset/11563,http://wiki.ms.com/Fast/CPM/FCA
GBT Reporting,44243,grn:/ms/banks/us/GBTReporting,GBT Reporting,"GBT Reporting provides the capability to view online reports which are stored in PIPER and the ability to run adhoc reports in Business Objects for which the user access is controlled and provisioned through EPR. 
The system caters to users of the various groups in the bank i.e. Analytics and Data, PBG ,WM FCG, Finance, Legal and Compliance, Risk, MSPBNA Mortgage, Credit, Operations, Bank Compliance, Private banking Operations, Pricing and Analytics, Compliance, GBT Banking & Payment Svcs, GBT Deposits, PRODUCT OPS & SVCS, Banking Services, US Banks, AML, HNW Lending, Banking Services, Lending Control Team, LAL Product Team, Fraud Operations, Operational Risk. 
The System Supports the following business functions Sales(Summit), FACOMP(Mint), Mortgages-Residential/MHUB/MSHL/ELC, BDP/Savings/NMF-Bank Deposit Program/New Money Fund, Tailored Lending (TL), Commercial Real Estate Finance (CREF), Credit Management Enterprise(CME), Liquidity Access Line(LAL), CashPlus(Premier CashPlus and Platinum CashPlus)/Premier Cash Management(PCM), Fraud Management, Exari-SLA Affiliate Workflow. ",Shibu Samuel,gbt_reporting_dev,http://taisc.webfarm.ms.com/ui/#/asset/44243,
Global Creditor Relations LC (Letter of Credit),7312,grn:/ms/stp/treasury/CreditorRelations/GLOC,Global Creditor Relations LC (Letter of Credit),"Tool to control the requesting and issuance of Letter of Credit (LC) requests. It will enable business units to Request LCs, the LC Desk to review the request, sign off the request and issue the request to the external bank providing LC line. The application is used by GLS & Commodities Operations.",Kamlesh Shah,ctgcr-it-dev,http://taidw.webfarm.ms.com/ui/#/ds/cidb/resources/System/7312/attributes,
Global Inventory Manager,7146,grn:/ms/pb/funding/GIM/CFP,GIM,"Global Inventory Manager (GIM) is a position-keeper providing a real time allocated view of the Firms Stock Record. What makes GIM unique is that it can provide a detailed view on how and if inventory was utilized globally, across all Firm entities. The Global Inventory Manager tool sources the firms full stock record and applies business rules and an order of allocation to link sources of assets to uses of those assets. It operates both as a batch reporting system and as a real-time inventory management system providing real-time availability to T3C for the purpose of collateral pledging",Pranjal Singh,,http://taidw.webfarm.ms.com/ui/#/ds/cidb/resources/System/7146/attributes,Pranjal Singh
Global Risk Store,14845,grn:/ms/ied/rps/GRS/GRS,GRS,"he purpose of GRS is to create a store that brings together end of day published marks, P+L and risk numbers at the end of the trading day, with the scenarios data calculated overnight for that day for the equities business.

This will enable the population of the scenarios data that is used for critical reporting to be known, controlled and reported on.

The risk and scenarios data is published from 2 systems: RV (Risk viewer) and Scenarios plant.

No processing will be performed on the data. It will simply be transformed into the persistent store data model and then extracted for various reporting including a feed to Risk1 for limits exceedances and VaR (calculated by MRD). Data will also be viewable in GRSNow, through a Qlikview model, and via queries that are fully entitled.

The data will be stored historically for 8 years",Eduardo Glasman,grsdev,http://taisc.webfarm.ms.com/ui/#/asset/14845/attributes,http://wiki.ms.com/Qapmeng/ApexUI_AnnualValidation
GRS,14845,grn:/ms/ied/rps/GRS,,,,,,
Horizon,10994,grn:/ms/entdata/timeseries/horizon,,,,,,
Intellimatch (Ops Control Apps),6777,grn:/ms/stp/opscontrol/Intellimatch,Intellimatch,"Intellimatch is a generic reconciliation system purchased from FIS (earlier Sungard). It is used at the heart of a system that receives data from a variety of both internal and external data sources to carry out reconciliations for multiple internal customers. Data from the Intellimatch system is downloaded to a number of risk tracking and management reporting functions. A variety of operations group use Intellimatch for their daily reconciliation needs. Some of the groups include, SSBO (Shared Service & Banking Operations), ORRC (Operations Risk & Regulatory Control), ISG Product Operations (ISGPO) , Wealth Management Operations (WM Ops) amongst others. Intellimatch uses a centralized Informatica plant to source in/out data for reconciliation. Data is loaded into MSSQL database server for performing the reconciliation. All Intellimatch components are run from windows environment and the supporting data sourcing system (Informatica) is run on Linux.",Nadya Belenkiy,im-it-dev,http://taisc.webfarm.ms.com/ui/#/asset/6777,http://wiki.ms.com/Qapmeng/ApexUI_AnnualValidation
IPBFinance,5708,grn:/ms/pb/finance/IPBFinance,IPBFinance,"Finance and Funding systems relating to International Prime Brokerage.
The system encompasses:
Rehypothecation - liability calculation and asset selection for funding. includes client reporting
Use of Assets - Bilateral trades of hot positions with clients for funding haircut
Financing reporting - Internal reporting of clients funding positions
Finance dashboard - UI for internal users giving visibility across the above areas",Vinay Ravuri,ipbitfin,http://taisc.webfarm.ms.com/ui/#/asset/5708,
IRD Trend,3936,grn:/ms/fid/ird/trend,,,,,,
Jellybean / LASER-WAREHOUSE,10417,grn:/ms/fid/spg/Jellybean,Jellybean,"Jellybean is a front-end application supported by back end services that supports the Warehouse Lending Operations and Business team.
It is a collateral management system for multiple secured lending products, including residential and commercial real estate lines, used for evaluation of collateral to determine the borrowing base, create fundings, record payments, and send reports to the clients and interacts with LoanIQ as the downstream for managing incoming and outgoing cashflows.
For residential mortgages there is data transfer capability between Morgan Stanley and Deustche Bank that is set up via Jellybean and transferred via FTP.",Saurabh Kumar,warehouse_reno_dev,http://taidw.webfarm.ms.com/ui/#/ds/cidb/resources/System/10417/attributes,http://stashgreen.ms.com/atlassian-stash/projects/SPG_JELLYBEAN_AUTOMATION/repos/jellybean-automation/browse/src/JellyBean_TPD.yaml
LCM System,4256,grn:/ms/ied/esp/LCMsystem,,,,,,
LD Data Hubs,6598,grn:/ms/stp/listedDerivatives/clientReporting/LDDataHubs,,,,,,
Legend,258,grn:/ms/company/controllers/Company/Legend,,,,,,
LEXI,3203,grn:/ms/entdata/clientrefdata/MSLegalEntity/LEXI,,,,,,
Lexicon,259,grn:/ms/company/controllers/Company/Lexicon,,,,,,
Libra,5911,grn:/ms/pds/Libra,Libra,Libra is the TAPS Position & Balance subledger.  The GUI frontend to the P&B data is handled via the QWEST application.  Libra contains the P&B data and the journal audit trail forming this data.  Libra also contains the JEMS (Renovated Manual Journal system).,Steven Rohmert,libra-it,http://taisc.webfarm.ms.com/ui/#/asset/5911,http://office-na.ms.com/sites/libra/default.aspx
LiquidityRisk,15765,grn:/ms/stp/treasury/LiquidityManagement/LiquidityRisk,,,,,,
LiquityHub,12659,grn:/ms/stp/treasury/LiquidityManagement/LiquidityHub,,,,,,
LoanHub,68367,grn:/ms/ist/loanhub,,,,,,
LoanIQ (SPG),4056,grn:/ms/fid/spg/ccgLoanIQ,Loan IQ,"This is a comprehensive set of tools including LoanIQ and intermally developed code (including web based UI/ALP, batches, Pega for workflow and real-time processes) that covers the entire life cycle of a institutional loan for loan servicing, trade processing and deal maintainence. It is licensed 3rd party software used to manage and model the institutional loans.
This application provides data to external systems through MQ / XML meessages on a real time basis",Shibani Dhal,core-loaniqny-it,http://taisc.webfarm.ms.com/ui/#/asset/4056,http://wiki.ms.com/Qapmeng/ApexUI_AnnualValidation
MAC Allocations,3954,grn:/ms/fid/mbs/MACAllocations,,,,,,
Magnet,7250,grn:/ms/fid/derivproc/MAGNET,Magnet,"Magnet is the OTC Derivative & FX Pre-Settlements Engine.  The system takes OTC trade and cash flow data feeds from trade booking / risk systems and provides consolidated netting, payment affirmation, electronic cash flow matching, journaling and cancel/correct functionality.  Magnet is based on an STP-with-exception-based workflow philosophy.  Magnet's prime purpose is to provide operational workflow to prevent settlement breaks from occurring, while providing a single consolidated audit trail linking risk system generated cashflows with actual settlement instructions.  Magnet data is used by Pari to automate investigation and resolution of settlement breaks when they do occur. 

Some of the functions Magnet provides are described briefly below : 
Netting - Auto netting is the application of client based netting preference to produce nets at various levels of granularity.  Manual netting allows nets to be crafted by operations in any shape of the underlying cashflows.  Splitting allows payments to be created in any shape according to restrictive rules to prevent manual payments being created.  
Central settlement involves interfacing with central providers such as DTCC for Credit Derivatives and CLS for FX in order to make net payments to the provider to reflect the net obligation across all participating banks.
Affirmation - Affirmation is a broad term that covers a number of functions.  Vanilla Affirmation is where a Morgan Stanley rep speaks to a client to affirm cashflow and payment amounts.  Affirmation can occur via external matching services such as DTCC Pay/Rec or can be automatic based on confirmation state of a trade and netting preference.  Magnet connects to external client facing tools via client link to allow STP of client affirmations.  Delivery Instructions are affirmed along with cashflows and hence the derivation and assignment of these is considered part of the function.",Jyoti Khetan,otcps_dev,http://taisc.webfarm.ms.com/ui/#/asset/7250,http://magnet
Manual,Manual,Manual,Manual,,,,,
Market Risk RAVE,932,grn:/ms/company/marketrisk/prod/rave,,,,,,
Market1,3731,grn:/ms/entdata/pricing/Market1,Market1,"Market1 is a historical repository of End of Day, vendor and regional desk marks and analytics for fixed income securities. Asset classes include bonds, swaps, futures, swaptions, CDS, credit options, MBS and FX.
Market1 provides easy access to price and analytics history for fixed-income interest rate and credit related products.",Prafulla Bipalliwar,mkt1help,http://taisc.webfarm.ms.com/ui/#/asset/3731,http://wiki.ms.com/Qapmeng/ApexUI_AnnualValidation
MSWM,37951,grn:/ms/edwspr,MSWM,,,,,
MSWM Thor,70795,grn:/ms/gbt/ThOR,MSWM ThOR ,,,,,
MuniTrust,3614,grn:/ms/fid/bondtech/MuniTrustSystem,MuniTrust,"This system allows the Municipal Funding desk to structure Muni floaters and inverse floaters from any given sets of collaterals (bullet, corporate, and FRN).  The C#  GUI portion of the system provides the ability to construct the Trust as well as the trade execution resulted from closing of the Trust.  The web portion displays various different reports and documentation associated with the operation of the Trusts.  Finally, the server plant provides the all the data consumed by the web and c# front end.  It also includes the pricing ability, loading, and committing data to the database.  Additionally, it also provides fidmath calculated information or ref data feed to various internal systems such as Collateral Management, Liquidity Hub, Risk1 and CEED.",,munidevcore,http://taisc.webfarm.ms.com/ui/#/asset/3614,http://wiki.ms.com/twiki/cgi-bin/view/Bondtech/MuniTrust
OTCDB,33750,grn:/ms/ied/esp/OTCDB,OTCDB,,,,,
P2,3373,grn:/ms/entdata/products/P2,P2,P2 is the global distributed securities database for equity products. It contains indicative product information for cash and derivative equity products sourced by both batch and realtime data feeds.,Nikhil Kulkarni,p2-dev-leads,http://taisc.webfarm.ms.com/ui/#/asset/3373,http://wiki.ms.com/Qapmeng/ApexUI_AnnualValidation
PB Funding engine - Coffer,17040,grn:/ms/pb/funding/coffer,PB Funding,"PB Coffer is a suite of systems for PB collateralized Funding calculations, daily financing and regulatory reporting. There are 5 components included. (1) Data warehouse built from periodic data feeds from a variety of upstream systems that impact PB debit/credit balances and securities collateral: swaps, finance, stock loan, PBBI, RTM, etc. (2) Intra-day calculations to generate term debit figures, compute the Funding Wire Limits (for outbound cash wires) and analyze client fundedness (vis-a-vis BRM security pools and rates). (3) Debit Prediction process which produces an early indication to BRM and PB Finance on the daily debit/SMV financing requirements on the business level. (4) Internal Coverage Liquidity calculation to quantify the cross-funding of PB collateral, which in turn is used by Corporate Treasury CFP calculations. (5) Regulatory reporting, which include Fed/PRA liquidity feeds, PB components of Basel LCR calculation and SEC prime brokerage metrics.",Vinay Ravuri,cfa-funding,http://taisc.webfarm.ms.com/ui/#/asset/17040,http://wiki-na.ms.com/PBOPTIMA/PBFunding
PBG Finance Framework,62741,grn:/ms/banks/us/PBGFinanceFramework,PBG Finance Framework,,,,,
Pharos (Swap Trade Capture),10776,grn:/ms/ied/esp/swaps/pharos,Pharos (Swap Trade Capture),"Equity Swaps Derivative Trade Capture system
**Pharos
Provides is the Swaps booking and management platform that supports the lifecycle of a Swap, including proposed amends and approvals. It maintains/uses Profiles to ensure Swap consistency and enable automatic creation. Pharos manages Halo profiles used by TC, Vista, Minerva, ActionStation. Pharos also creates delta one Certificate and Warrant issuances.

**Parimaan
Parimaan is a light-weight web version of Pharos, it is used to book Transactional/Termed swap shells & trades. Parimaan can receive trades from RFQ systems. Parimaan has a trade and position blotter to manage the lifecycle events: open/unwind/rolls.

**Poseidon
Poseidon is position management & financing re-rate system for Equity Swaps. It features trade booking capability for various business flows (vanilla, put/call combo, futures), Swaps re-rate opportunity discovery, booking error detection, PnL analytics and many more. It is backed with KDB that merges data from multiple internal DSP and external data sources. The data is used by humans and programmatically by Strats', booking system, Corp Action, Ironman and Trading.
Poseidon can book Basket/Position level fees, and create Stock Price overrides for scheduled resets

**Proteus
Proteus is an Equity Swaps Pricing Life Cycle Management application. Pricing lifecycle involves sales-rep & traders agreeing on certain commission and spreads to be charged for that client. It captures pricing decision making process, between sales representatives and traders, then programmatically ensures the agreed decisions are used in production. Auto generation of pricing contract.

**Swaps Data Layer (SDL)
SDL is a collection of API to provide globally consistent utilities to extract, massage, and persist data.
The data is time series referential/market data, historical business data (swap/trade/position/balance/collateral) and derived data. SDL provides validation, filtering and categorization of both referential/market and business data.",Rupesh Saxena,pharos-dev,http://taisc.webfarm.ms.com/ui/#/asset/10776,http://wiki.ms.com/Pharos/
PositionKeeper,1040,grn:/ms/company/treasury/PositionKeeper,PositionKeeper,,,,http://taisc.webfarm.ms.com/ui/#/asset/1040,
PRISM,3374,grn:/ms/entdata/products/PRISM,PRISM,"PRISM is an enterprise-wide, near real-time repository of product information whose objectives include:;  ;  1. provide a single centralized database across product asset categories, leveraging such primary sources as P2, FID1, and PSF ;  2. Meet the requirements of enterprise data consumers in the major Platform renovation efforts and other enterprise functions ;  3. facilitate easy and centralized access across data sources",Chris Anecelle,prism-dev,http://taisc.webfarm.ms.com/ui/#/asset/3374,http://prismtwiki
Query,47892,grn:/ms/pds/Detailed-Subledger/apps/query,,,,,,
Race,38470,grn:/ms/company/controllers/FarEast/race,,,,,,
Raven,422,grn/ms/company/controllers/wise/datasource/BalanceSheetData,Raven,,,,,
RBDW-BDP,58841,grn:/ms/banks/us/retailbankingdatawarehouse/BDP,BDP,,,,,
RDRS EBS,56928,grn:/ms/tera/retra/RDRS/EBS,,,,,,
Regal,10522,grn:/ms/company/controllers/FarEast/Regal,Regal,,,,,
RESI-ALP,4029,grn:/ms/fid/spg/RESI-ALP,RESI-ALP,Application and database used to house loan-level information about residential mortgages owned by Morgan Stanley.,Remi Belanger,lasertech,http://taisc.webfarm.ms.com/ui/#/asset/4029,http://wiki.ms.com/Qapmeng/ApexUI_AnnualValidation
Retail Banking Data Warehouse (RBDW),14358,grn:/ms/banks/us/retailbankingdatawarehouse,RBDW,"This data warehouse will house all Retail Product & Client information.  The source of the data comes from multiple application such as Risk, LNIQ, ASIS, Market Risk, Credit Risk, Core Margin, etc.
We have number of application consuming the data.  They include Treasury, Audit, Risk, and FCG.  The access is for operation users.  IT users gain access to prod system via the TAP/TAM process.",Ravishankar Vittoba,rbg_dw_dev,http://taisc.webfarm.ms.com/ui/#/asset/14358,ttp://wiki-na.ms.com/RetailBankDataWarehouse/WebHome
RICE,36806,grn:/ms/risk/rice,RICE (via Interop API),,,,,
Ripple,10208,grn:/ms/fid/ird/Ripple,Ripple,"Ripple is the RISK and P&L storage and reporting system for FID IRD.

It provides P&L calculation and reporting including (a) trade-level breakdowns for all products, and (b) aggregated risk and P&L across asset classes, in particular between IRD and C1. 

Ripple provides persistent storage of risk and calculation of P&L Attribution for IRD.  Reports risk and P&L in aggregate predominantly from Rice with some legacy flows from STS.
Ripple data is accessed through a Windows GUI application , Excel plugin and Scala API. We also provide a SOAP interface for downstream users.

Ripple also provides data downstream to PLX/WISE/PX/PLANET, Risk1, Mark1 & DSL
Ripple access is controlled through- Eclipse E3 (Enterprise Entitlements Engine) and used primarily by Strats, Traders and Controllers",Tao Wu,rippledev,http://taisc.webfarm.ms.com/ui/#/asset/10208,http://wiki.ms.com/Qapmeng/ApexUI_AnnualValidation
Risk Data Exchang,3748,grn:/ms/fid/derivproc/RDX,Risk Data Exchange,,,,,
RODS,303883,grn:/ms/RODS,RODS,RODS is a regulatory calculation service and data store used by Finance to systematically calculate regulatory capital and other financial ratios. It will provide users with capabilities to access data and perform calculation adjustments via appropriate workflow controls,Alistair Macdonald,,http://taisc.webfarm.ms.com/ui/#/asset/303883,
