Report Table Group,Report Table Name,Report Table ID,Reporting Class,Server Name,Schema Name,Table Name,Products,Feed ID,Feed Name,Source Report Table Name,Logic
6G - Product,6G - Inflows - Other - Lock-up Balance,RT-6G-IO-5,6G,nyqd_lmfr_ate,,,Lock-up Balance,184; 256; 316,UK Client Money Protection-Aqua; BTB Cash; ETrade Reverse Repo and Repo,,"UK Client Money Protection-Aqua Feed, where Business Unit in (“IPB (3558)”, “PWM Americas (5121)”, “PWM Australia (T569)”, “PWM - Hong Kong - Employee (3804)”, “PWM - London - Employee (3314)”, “PWM Hong Kong (3829)”, “PWM Singapore (3829)”, “PWM - London (3331)”)
Lockup Feed, where Business Division in (“Prime Brokerage”, “MSSB”)
E*TRADE:
BTB Cash Feed, where Feed Product not in (“OVERDRAFT”,”DREC”), Party ID for Legal Entity in (“9540”, “9541”), TenQ Level 4 in (“Interest Bearing Customer Reserve”, “Non-Interest Bearing Customer Reserve”) and ADJUSTED_USD_AMT >= 0
(Determined by Business Date, Entity, Party ID, Currency and Product Type)
ETRADE Reverse Repo and Repo Feed, where RepoType is “15c3”"
6G - Product,6G - Inflows - Other - Net 30-Day Derivative Receivables,RT-6G-IO-7,6G,nyqd_lmfr_ate,,,Net 30-Day Derivative Receivables,94; 95,CVA Expected Cashflows; CVA Margin Requirements,,"CVA Expected Cashflows & CVA Margin Requirements Feeds, where Version is “Net30”, Not on Exclusion List, Reporting Plane ID = 0, Scenario is “base”, Metric in (CFPAYMEAN_%, CFRECEIVEMEAN_%, FNFLOWMEAN_%), Time Horizon in (0 to 29) and Future value is not 0
Single value calculated (as driven by Net Gross Indicator as “N” or “G” for Netting Allowed or Disallowed) per Netting ID, Time Horizon, Currency and (for Net Gross Indicator as “G”) Metric > 0"
6G - Product,6G - Inflows - Other - Other Cash Inflows,RT-6G-IO-9,6G,nyqd_lmfr_ate,,,Other Cash Inflows,125; 158,GWM Mortgages; MSWM FA Debit/Crdit Balance,,"MSWM FA Debit/Crdit Balance Feed, where Account Type is “0”, Product Type is “CASH” and Flow Ind is “D”"
6G - Product,6G - Inflows - Other - Principal Payments Receivable on Unencumbered Investment Securities,RT-6G-IO-8,6G,nyqd_lmfr_ate,,,Principal Payments Receivable on Unencumbered Investment Securities,35; 36; 37; 101,Unencumbered Assets - AS; Unencumbered Assets - EU; Unencumbered Assets - NA; Unencumbered Assets - MSSB,,"Unencumbered Assets - [AS, EU, MSSB, NA] Feed, where Firm Client is “Investment Portfolio”"
6G - Product,6G - Inflows - Other - TBA Sales,RT-6G-IO-3,6G,nyqd_lmfr_ate,,,TBA Sales,86,Tbas,,"Tbas Feed, where Buy Sell Ind is “S” and Product like 99X% and DLG_NAME NOT IN (“Morgan Stanley Private Bank NA”, “Morgan Stanley Bank NA”) AND RELATED_DLG_NAME NOT IN (“Morgan Stanley Private Bank NA”, “Morgan Stanley Bank NA”)
Intercompany replication logic (from O.O.3)
Where 6G_CODE is “O.O.3” AND DLG_NAME=“Morgan Stanley and Co LLC” AND RELATED_DLG_NAME=“Morgan Stanley and Co International plc” create 6G_CODE is “I.O.3” AND DLG_NAME=“ Morgan Stanley and Co International plc “ AND RELATED_DLG_NAME=“ Morgan Stanley and Co LLC “ AND 6G_CODE is “O.O.3” AND DLG_NAME=“ Morgan Stanley and Co International plc “ AND RELATED_DLG_NAME=“External”"
6G - Product,6G - Inflows - Other - Undrawn Committed Facilities Purchased,RT-6G-IO-4,6G,nyqd_lmfr_ate,,,Undrawn Committed Facilities Purchased,33; 34; 76; 79; 125; 142; 186; 187; 233; 307; 308; 309; 310,Loan IQ - Drawn; Loan IQ - Undrawn; Off Bal Sheet Com and Guarantees; Repos - BRM; GWM Mortgages; CRE Loans; GWM Loans - TL; GWM Loans - PLA/LAL; Fronting and Participation; Tender Option Bonds Floater Notes; Tender Option Bonds Collateral; Tender Option Bonds Residual; Tender Option Bonds Floater Investor,,"This leverages O.O.4 & O.O.5 Reporting Logic with regards to Contractual Fronting Exposures and Sub-participations identified on the basis of Deal ID, Counterparty, Legal Entity, Currency and Maturity Date, where Fronting Legal Entity is Not Null (Inter-affiliate Fronting)."
6G - Product,6G - Inflows - Secured - Collateral Swaps,RT-6G-IS-4,6G,nyqd_lmfr_ate,,,Collateral Swaps,79,Repos - BRM,6G - Order of Allocation - On BS Asset Exchange Borrow; 6G - Order of Allocation - Reverse Repo; 6G - Order of Allocation - Stock Borrow,"OOFA Source is “Reverse Repo” and OOFA Source is Cash is “N” (App C-III)   
Or when Source is “Reverse Repo”  and COUNTERPARTY_ID = 'BBB00238530' AND TRADE TYPE IN ('BVF', 'PLG', 'APLG') and OOFA Source is Cash “Y”.

OOFA Source is “Stock Borrow” and OOFA Source is Cash is “N” (App C-III)     
OOFA Source is “On BS Asset Exchange Borrow (PDS)” (App C-III) (Liquidity Interpretation Forum Decision LIF153) and Source is Cash is “N”

Uncollateralized Borrows
Repos - BRM Feed, where Sec Fin Exclude (App C-III) is NULL, Flow Ind is “B” and TAPS Trading Account is “07700A0T3”  "
6G - Product,6G - Inflows - Secured - Margin Loans,RT-6G-IS-5,6G,nyqd_lmfr_ate,,,Margin Loans,33; 89; 162; 187; 200; 292; 336,Loan IQ - Drawn; Internal Coverage; PB Global Assets; GWM Loans - PLA/LAL; WM Margin Loans; Equity Margin Lending; Loans Collateral,6G - Order of Allocation - Client Long PB; 6G - Order of Allocation - Client Long WM; 6G - Order of Allocation - NCSA Long,"OOFA Source in (“Client Long PB”, “NCSA Long”) and (SOURCE_CASH_VALUE > 0 OR MARKET_VALUE > 0 ) (App C-III)

OOFA Source is “Client Long WM” and Product Type is “MGN” (App C-III)

PB Global Assets Feed: Non-Rehypothecatable Collateral is derived directly from the TH Feed where Flow Ind is “D” (Available Market Value USD and Cash Value Restated USD are aggregated at the Counterparty BBB ID Level.  The counterparties having aggregate Available Market Value = 0 and aggregate Cash Value Restated > 0 are excluded from the Order of Allocation.  Unencumbered is defaulted to “false” in this case.)

GWM Loans PLA/LAL Feed, where Loan Type in (“PL”, NULL) and Loan Coll Ind is “C”

Loan IQ - Drawn Feed, where Market Value CCY>0 (on Facility ID Basis) for Equity Margin Lending Feed (on MS Entity/LoanIQ Facility Control Number Basis) and collateral From FDW Loans Collateral Feed = N

WM Margin Loans Feed, where DLG in (ETS, ETALLOTH) and type is “MGN” – (E*TRADE Bank, E*TRADE Securities LLC,  E*TRADE - All Other, E*TRADE - All Other Entities , 50 51 52) and version is ETRADE"
6G - Product,6G - Inflows - Secured - Other Secured Loans - Non-Rehypothecatable,RT-6G-IS-8,6G,nyqd_lmfr_ate,,,Other Secured Loans - Non-Rehypothecatable,33; 125; 142; 186; 187; 331; 336,Loan IQ - Drawn; GWM Mortgages; CRE Loans; GWM Loans - TL; GWM Loans - PLA/LAL; ETrade LOC; Loans Collateral,,"GWM Mortgages Feed, where Mortgage Lifecycle in (“Long”, “Forward Sale”), Collateral Value > 0 and Is Heloc is “N”

CRE Loans Feed, where Status Loans in (“Long”, “Sold Forward”) and Product Type <> “IO Strip”

Loan IQ-Drawn Feed, Accrual Status not in (“NACC”, “NAIFP”), Maturity Date > Reporting Date, Is Being Renewed is “N”, MX AMT > 0, Risk Type not “Interest Only Strip” and Term Indicator is “Y” and collateral From FDW Loans Collateral Feed = Y

GWM Loans - PLA/LAL Feed, where Loan Type is “NPL”, Loan Coll Ind is “C” and Product Type is “LAL Term Loan”

GWM Loans - TL Feed, where Loan Amount Funded MX > 0, Collateral Value > 0 and Product Type is “TL Term Loan” and Loan Coll Ind is “C”

ETrade LOC Feed [No Constraints]"
6G - Product,6G - Inflows - Secured - Other Secured Loans - Rehypothecatable,RT-6G-IS-6,6G,nyqd_lmfr_ate,,,Other Secured Loans - Rehypothecatable,79; 89; 200,Repos - BRM; Internal Coverage; WM Margin Loans,6G - Order of Allocation - Client Long WM; 6G - Order of Allocation - Customer Affiliate Long; 6G - Order of Allocation - Reverse Repo,"OOFA Source is “Reverse Repo”, Trade Type not in (“APRP”, “BSB”, “DTC”, “GEN”, “MEG”, “MGN”, “MTA”, “PBX”, “PRP”, “PVR”, “REP”, “RGC”, “RVF”, “APLG”, “BCI”, “BVC”, “BVF”, “BVM”, “BVU”, “PLG”, “SLC”, “TKR”, “CAR”, “DRV”, “CCL”, “REK”, “MMK”, “CLF”, “CLP”, “PLD”, “LNT”, “SLF”, “SLK”, “EXC”, “EXN”) and OOFA Source is Cash is “Y” (App C-III)

OOFA Source is “Client Long WM” and Product Type is “NPL” (App C-III)
OOFA Source is “Customer Affiliate Long” (App C-III)

Repos-BRM Feed, where Start Date>Reporting Date, Sec Fin Exclude (App C-III) is NULL, Flow Ind is “B” and Trade Type not in (“APRP”, “BSB”, “DTC”, “GEN”, “MEG”, “MGN”, “MTA”, “PBX”, “PRP”, “PVR”, “REP”, “RGC”, “RVF”, “APLG”, “BCI”, “BVC”, “BVF”, “BVM”, “BVU”, “PLG”, “SLC”, “TKR”, “CAR”, “DRV”, “CCL”, “REK”, “MMK”, “CLF”, “CLP”, “PLD”, “LNT”, “SLF”, “SLK”, “EXC”, “EXN”) (App C-III) "
6G - Product,6G - Inflows - Secured - Outstanding Draws on Secured Revolving Facilities,RT-6G-IS-7,6G,nyqd_lmfr_ate,,,Outstanding Draws on Secured Revolving Facilities,33; 125; 186; 187,Loan IQ - Drawn; GWM Mortgages; GWM Loans - TL; GWM Loans - PLA/LAL,,"GWM Mortgages Feed, where Mortgage Lifecycle is “Long”, Collateral Value > 0, and Is Heloc is “Y”

GWM Loans - PLA/LAL Feed, where Loan Type is “NPL”, Loan Coll Ind is “C” and Product Type NOT “LAL Term Loan”

GWM Loans - TL Feed, where Loan Amount Funded MX > 0, Collateral Value > 0 and Product Type NOT “TL Term Loan” and Loan Coll Ind is “C”

Loan IQ-Drawn Feed, Accrual Status not in (“NACC”, “NAIFP”), Maturity Date > Reporting Date, Is Being Renewed is “N”, MX AMT > 0, Risk Type not “Interest Only Strip” and Term Indicator is “N” and collateral From FDW Loans Collateral Feed = Y"
6G - Product,6G - Inflows - Secured - Reverse Repo,RT-6G-IS-1,6G,nyqd_lmfr_ate,,,Reverse Repo,79; 105; 316,Repos - BRM; Stock Loan/Repo-MSSB; ETrade Reverse Repo and Repo,6G - Order of Allocation - Reverse Repo,"OOFA Source is “Reverse Repo”, Trade Type in (“APRP”, “BSB”, “GEN”, “MEG”, “MGN”, “PBX”, “PRP”, “PVR”, “REP”, “RGC”, “RVF”, “CAR”, “DRV”, “CCL”, “REK”, “MMK”, “CLF”, “CLP”, “PLD”) and OOFA Source is Cash is “Y” (App C-III) 
   
GCF Gross Up Exclusion, LEGAL_ENTITY = 0201 and COUNTERPARTY_ID = BBB01807140 and TRI_PARTY_IND = TriParty

Repos-BRM Feed, where Start Date>Reporting Date, Sec Fin Exclude (App C-III) is NULL, Flow Ind is “B”, Trade Type in (“APRP”, “BSB”, “GEN”, “MEG”, “MGN”, “PBX”, “PRP”, “PVR”, “REP”, “RGC”, “RVF”, “CAR”, “DRV”, “CCL”, “REK”, “MMK”, “CLF”, “CLP”, “PLD”) (App C-III) and Funding Calc Category is “Cash”

Stock Loan/Repo-MSSB Feed, where Start Date>Reporting Date, Sec Fin Exclude (App C-III) is NULL, Flow Ind is “B”, Trade Type is “REP” and Funding Calc Category is “Cash”

ETrade Reverse Repo and Repo Feed, RepoType is “15c3” or “Firm”"
6G - Product,6G - Inflows - Secured - Securities Borrowing,RT-6G-IS-2,6G,nyqd_lmfr_ate,,,Securities Borrowing,71; 79; 105; 162; 314,Stock Loan - BRM; Repos - BRM; Stock Loan/Repo-MSSB; PB Global Assets; ETrade Stock Borrow and Loans,6G - Order of Allocation - On BS Asset Exchange Borrow; 6G - Order of Allocation - PDS Long; 6G - Order of Allocation - Reverse Repo; 6G - Order of Allocation - Stock Borrow,"OOFA Source is “Reverse Repo”, Trade Type in (“APLG”, “BCI”, “BVC”, “BVF”, “BVM”, “BVU”, “PLG”, “SLC”, “TKR”, “LNT”, “SLF”, “SLK”, “EXC”, “EXN”, “MTA”, “DTC”) and OOFA Source is Cash is “Y” (App C-III)
COUNTERPARTY_ID = 'BBB00238530' AND TRADE TYPE IN ('BVF', 'PLG', 'APLG') THEN Exclude

OOFA Source is “Stock Borrow” and OOFA Source is Cash is “Y” (App C-III)

OOFA Source in (“On BS Asset Exchange Borrow (PDS)”, “PDS Long”) (App C-III) and Source is Cash is “Y”

Repos - BRM Feed, where Start Date>Reporting Date, Sec Fin Exclude (App C-III) is NULL, Flow Ind is “B”, Trade Type in (“APLG”, “BCI”, “BVC”, “BVF”, “BVM”, “BVU”, “PLG”, “SLC”, “TKR”, “LNT”, “SLF”, “SLK”, “EXC”, “EXN”, “MTA”, “DTC”) (App C-III) and Funding Calc Category is “Cash”, in concert with the Order of Allocation (App C-III) 

Stock Loan - BRM Feed, where Start Date>Reporting Date, Sec Fin Exclude (App C-III) is NULL, ((Cash Non Cash is “C” and Flow Ind in (“B”, “P”)) OR (Cash Non Cash is “N” and Flow Ind in (“B”, “R”))) and Funding Calc Category is “Cash”, in concert with the Order of Allocation (App C-III) 

Stock Loan/Repo-MSSB Feed, where Start Date>Reporting Date, Sec Fin Exclude (App C-III) is NULL, Flow Ind is “B”, Trade Type not “REP” and Funding Calc Category is “Cash”, in concert with the Order of Allocation (App C-III) 

PB Global Assets Feed, where Start Date>Reporting Date, Flow Ind is “D”, Legal Entity is “0302” and Counterparty BBB ID is “BBB01371367”

Etrade Stock Borrow and Loans Feed, where PID is I.S.2 and Counterparty Number not in (0385, 1051)"
6G - Product,6G - Inflows - Secured - Synthetic Customer Longs,RT-6G-IS-9,6G,nyqd_lmfr_ate,,,Synthetic Customer Longs,325; 326,EQ TRS; FID TRS ,,"FID TRS Feed, where Product Type not “BondForward” and longshort field  is “Short”

Equity TRS Feed, where longshort field is “Long” and  lrdClassfication in ""Client, Closed Struct-Failed Sale-IFRS+GAAP, Closed Struct-Failed Sale-IFRS,Closed Struct-True Sale, Closed Struct"""
6G - Product,6G - Inflows - Secured - Synthetic Firm Sourcing,RT-6G-IS-10,6G,nyqd_lmfr_ate,,,Synthetic Firm Sourcing,325,EQ TRS,,"Equity TRS Feed, where longshort field is “Long” and lrdClassfication not in ""Client, Closed Struct-Failed Sale-IFRS+GAAP, Closed Struct-Failed Sale-IFRS,Closed Struct-True Sale, Closed Struct"" or NULL"
6G - Product,6G - Inflows - Unsecured - Excess Operational Balances,RT-6G-IU-4,6G,nyqd_lmfr_ate,,,Excess Operational Balances,25; 44; 256; 312,Derivatives Collateral; Triton Money Markets; BTB Cash; Omni Renovated GL Balances,,"Triton Money Markets or BTB Cash Feeds, where Entity Type not “Central Bank”, Feed Product not in (“OVERDRAFT”,”DREC”) [BTB Cash only], TenQ Level 4 in (“Interest Bearing Deposits”, “Non-Interest Bearing Deposits”) and (USD_AMT >= 0 (Triton Money Markets Feed) or ADJUSTED_USD_AMT >= 0 (BTB Cash Feed))
(Determined by Business Date, Legal Entity, Party ID, Currency and Product Type)

Derivatives Collateral Feed, where Counterparty Account in (“027AAZBF4”, “027SBDOU6”, “027X000B3”, “027X000U1”)

Omni Renovated GL Balances Feed, where Legal Entity is “5711”, Cost Centre is “N022” and GL Account is “102356”"
6G - Product,6G - Inflows - Unsecured - Offshore Placements,RT-6G-IU-2,6G,nyqd_lmfr_ate,,,Offshore Placements,44,Triton Money Markets,,"Triton Money Markets Feed, where Entity Type not “Central Bank”, TenQ Level 4 in (“Interest Bearing Deposits”, “Non-Interest Bearing Deposits”), USD_AMT >= 0, Not (Entity Country = Currency Country = Party Country), Cost Centre not “5C55” and Maturity Date less Business Date <= 7 Days
(Determined by Business Date, Legal Entity, Party ID, Currency and Product Type)"
6G - Product,6G - Inflows - Unsecured - Onshore Placements,RT-6G-IU-1,6G,nyqd_lmfr_ate,,,Onshore Placements,44,Triton Money Markets,,"Triton Money Markets Feed, where Entity Type not “Central Bank”, TenQ Level 4 in (“Interest Bearing Deposits”, “Non-Interest Bearing Deposits”), USD_AMT >= 0, Entity Country = Currency Country = Party Country, Cost Centre not “5C55” and Maturity Date less Business Date <= 7 Days
(Determined by Business Date, Legal Entity, Party ID, Currency and Product Type)"
6G - Product,6G - Inflows - Unsecured - Other Loans,RT-6G-IU-6,6G,nyqd_lmfr_ate,,,Other Loans,33; 43; 53; 180; 186; 213; 253; 268; 312; 313,Loan IQ - Drawn; Triton Sub-Debt; Omni Taps Transactions; PWM Loans and Deposits; GWM Loans - TL; Employee Loans; Triton SPV; Long Term Debt - BTB; Omni Renovated GL Balances; Inter-Affiliate Funding – BTB Feed,,"Loan IQ - Drawn Feed, where Term Indicator is “Y”, Risk Type not “Interest Only Strip”, Accrual Status not in (“NACC”, “NAIFP”), Maturity Date > Reporting Date, Market Value Ccy USD <= 0, MX AMT > 0, Is Being Renewed is “N”  and Collateral from FDW = N

(Market Value Ccy USD <= 0 excludes rows which have pro-rated collateral)

Omni Renovated GL Balances & Omni TAPS Transactions Feeds, where Internal Rel 3 is ""INTERCO"" and MX Cash Amount > 0

Employee Loans Feed, where Performing is “Performing”

PWM Loans and Deposits Feed, where Counterparty BBB ID is not NULL and PB Cash Value USD > 0 (on Legal Entity, 
Counterparty BBB ID and Currency Basis)

GWM Loans – TL Feed, where Loan Amount Funded MX > 0, Collateral Value = 0 and Loan Coll Ind is “C”

Triton Sub-Debt, where USD Cash Value > 0

Triton SPV Feed, where MX Amt >=0

Long Term Debt – BTB (USFM) Feed, where Legal Entity in (“1946”, “4061”, “0329”)

Interaffiliate Funding BTB Feed, where Internal Rel 3 is “Interco” and Market Value MX > 0
"
6G - Product,6G - Inflows - Unsecured - Outstanding Draws on Unsecured Revolving Facilities,RT-6G-IU-5,6G,nyqd_lmfr_ate,,,Outstanding Draws on Unsecured Revolving Facilities,33,Loan IQ - Drawn,,"Loan IQ - Drawn Feed, where Term Indicator is “N”, Risk Type not “Interest Only Strip”, Accrual Status not in (“NACC”, “NAIFP”), Maturity Date > Reporting Date, Market Value Ccy USD <= 0, MX AMT > 0 and Is Being Renewed is “N” and Collateral from FDW = N

(Market Value Ccy USD <= 0 excludes rows which have pro-rated collateral)"
